report_id,report_type,site,activity,barrier_failure,iogp_life_saving_rule,description_raw,description_clean,model_text,risk_level,sif_potential
NM_0559,Near Miss,Storage tank,Manual handling of tubulars,Gas testing was overdue and no dedicated fire watch was assigned,Confined Space,"Before/during Manual handling of tubulars at Storage tank, Gas testing was overdue and no dedicated fire watch was assigned. The situation had credible potential for serious injury. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.","Before/during Manual handling of tubulars at Storage tank, Gas testing was overdue and no dedicated fire watch was assigned. The situation had credible potential for serious injury. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.","[REPORT_TYPE] Near Miss [SITE] Storage tank [ACTIVITY] Manual handling of tubulars [BARRIER_FAILURE] Gas testing was overdue and no dedicated fire watch was assigned [IOGP_RULE] Confined Space [TEXT] Before/during Manual handling of tubulars at Storage tank, Gas testing was overdue and no dedicated fire watch was assigned. The situation had credible potential for serious injury. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.",High,1
NM_0272,Near Miss,Compressor station,Drilling operations,Drain cover was open and combustible vapour testing was not documented,Hot Work,"Near-miss observation: while performing Drilling operations at Compressor station, the team found that Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. The supervisor reviewed the situation and approved continuation after correction.","Near-miss observation: while performing Drilling operations at Compressor station, the team found that Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. The supervisor reviewed the situation and approved continuation after correction.","[REPORT_TYPE] Near Miss [SITE] Compressor station [ACTIVITY] Drilling operations [BARRIER_FAILURE] Drain cover was open and combustible vapour testing was not documented [IOGP_RULE] Hot Work [TEXT] Near-miss observation: while performing Drilling operations at Compressor station, the team found that Drain cover was open and combustible vapour testing was not documented. Work was stopped temporarily and resumed after verification. The supervisor reviewed the situation and approved continuation after correction.",Medium,0
NM_0526,Near Miss,Wellsite,Vessel entry preparation,Communication failure,Confined Space,Inspection revealed Communication failure during Vessel entry preparation at Wellsite. The job was halted due to high-risk exposure. A supervisor issued a stop-work intervention and required a formal control verification.,Inspection revealed Communication failure during Vessel entry preparation at Wellsite. The job was halted due to high-risk exposure. A supervisor issued a stop-work intervention and required a formal control verification.,[REPORT_TYPE] Near Miss [SITE] Wellsite [ACTIVITY] Vessel entry preparation [BARRIER_FAILURE] Communication failure [IOGP_RULE] Confined Space [TEXT] Inspection revealed Communication failure during Vessel entry preparation at Wellsite. The job was halted due to high-risk exposure. A supervisor issued a stop-work intervention and required a formal control verification.,High,1
NM_0496,Near Miss,Field office area,Process unit startup/shutdown,Spill containment missing,Safe Mechanical Lifting,"Shift crew reported that during Process unit startup/shutdown in Field office area, Spill containment missing. The activity was stopped as it could have resulted in serious harm. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","Shift crew reported that during Process unit startup/shutdown in Field office area, Spill containment missing. The activity was stopped as it could have resulted in serious harm. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Process unit startup/shutdown [BARRIER_FAILURE] Spill containment missing [IOGP_RULE] Safe Mechanical Lifting [TEXT] Shift crew reported that during Process unit startup/shutdown in Field office area, Spill containment missing. The activity was stopped as it could have resulted in serious harm. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",High,1
NM_0646,Near Miss,Pipeline ROW,Pump maintenance,Emergency response delayed,None/Not Applicable,"During routine checks at Pipeline ROW, Emergency response delayed was observed during Pump maintenance. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.","During routine checks at Pipeline ROW, Emergency response delayed was observed during Pump maintenance. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.","[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Pump maintenance [BARRIER_FAILURE] Emergency response delayed [IOGP_RULE] None/Not Applicable [TEXT] During routine checks at Pipeline ROW, Emergency response delayed was observed during Pump maintenance. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.",Critical,1
NM_0206,Near Miss,Truck loading bay,Tank farm operations,Training inadequate,Confined Space,"During routine checks at Truck loading bay, Training inadequate was observed during Tank farm operations. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.","During routine checks at Truck loading bay, Training inadequate was observed during Tank farm operations. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.","[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Tank farm operations [BARRIER_FAILURE] Training inadequate [IOGP_RULE] Confined Space [TEXT] During routine checks at Truck loading bay, Training inadequate was observed during Tank farm operations. Work was paused until the issue was addressed. The crew escalated the issue through the shift safety meeting and closed it before continuation.",Medium,0
NM_0025,Near Miss,Gas processing unit,Forklift pallet handling,Fire watch missing,Hot Work,"Near-miss observation: while performing Forklift pallet handling at Gas processing unit, the team found that Fire watch missing. The team corrected it without delay. The issue was minor and was rectified before it affected the task.","Near-miss observation: while performing Forklift pallet handling at Gas processing unit, the team found that Fire watch missing. The team corrected it without delay. The issue was minor and was rectified before it affected the task.","[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Forklift pallet handling [BARRIER_FAILURE] Fire watch missing [IOGP_RULE] Hot Work [TEXT] Near-miss observation: while performing Forklift pallet handling at Gas processing unit, the team found that Fire watch missing. The team corrected it without delay. The issue was minor and was rectified before it affected the task.",Low,0
NM_0699,Near Miss,Wellsite,Lifting and rigging,Trip interlock was found bypassed during a production upset,Safe Mechanical Lifting,A Trip interlock was found bypassed during a production upset was identified during Lifting and rigging at Wellsite. Work was stopped urgently and emergency response was initiated. Personnel were moved to a safe location and the event was treated as a high-potential near miss.,A Trip interlock was found bypassed during a production upset was identified during Lifting and rigging at Wellsite. Work was stopped urgently and emergency response was initiated. Personnel were moved to a safe location and the event was treated as a high-potential near miss.,[REPORT_TYPE] Near Miss [SITE] Wellsite [ACTIVITY] Lifting and rigging [BARRIER_FAILURE] Trip interlock was found bypassed during a production upset [IOGP_RULE] Safe Mechanical Lifting [TEXT] A Trip interlock was found bypassed during a production upset was identified during Lifting and rigging at Wellsite. Work was stopped urgently and emergency response was initiated. Personnel were moved to a safe location and the event was treated as a high-potential near miss.,Critical,1
NM_0110,Near Miss,Pipeline ROW,Chemical sampling,Sample bottle label was unclear and secondary containment was not positioned,None/Not Applicable,A Sample bottle label was unclear and secondary containment was not positioned was identified during Chemical sampling at Pipeline ROW. Work was paused briefly and the issue was resolved. The issue was minor and was rectified before it affected the task.,A Sample bottle label was unclear and secondary containment was not positioned was identified during Chemical sampling at Pipeline ROW. Work was paused briefly and the issue was resolved. The issue was minor and was rectified before it affected the task.,[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Chemical sampling [BARRIER_FAILURE] Sample bottle label was unclear and secondary containment was not positioned [IOGP_RULE] None/Not Applicable [TEXT] A Sample bottle label was unclear and secondary containment was not positioned was identified during Chemical sampling at Pipeline ROW. Work was paused briefly and the issue was resolved. The issue was minor and was rectified before it affected the task.,Low,0
NM_0725,Near Miss,Pump station,Grinding near drain,Scaffold was altered without inspection tag and toe boards were missing,Hot Work,Inspection revealed Scaffold was altered without inspection tag and toe boards were missing during Grinding near drain at Pump station. Multiple workers were at risk of serious injury or fatality. The situation had imminent potential for fatality and was escalated immediately.,Inspection revealed Scaffold was altered without inspection tag and toe boards were missing during Grinding near drain at Pump station. Multiple workers were at risk of serious injury or fatality. The situation had imminent potential for fatality and was escalated immediately.,[REPORT_TYPE] Near Miss [SITE] Pump station [ACTIVITY] Grinding near drain [BARRIER_FAILURE] Scaffold was altered without inspection tag and toe boards were missing [IOGP_RULE] Hot Work [TEXT] Inspection revealed Scaffold was altered without inspection tag and toe boards were missing during Grinding near drain at Pump station. Multiple workers were at risk of serious injury or fatality. The situation had imminent potential for fatality and was escalated immediately.,Critical,1
NM_0763,Near Miss,Field office area,Internal tank inspection,Training inadequate,Confined Space,"During routine checks at Field office area, Training inadequate was observed during Internal tank inspection. Work was stopped urgently and emergency response was initiated. The situation had imminent potential for fatality and was escalated immediately.","During routine checks at Field office area, Training inadequate was observed during Internal tank inspection. Work was stopped urgently and emergency response was initiated. The situation had imminent potential for fatality and was escalated immediately.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Internal tank inspection [BARRIER_FAILURE] Training inadequate [IOGP_RULE] Confined Space [TEXT] During routine checks at Field office area, Training inadequate was observed during Internal tank inspection. Work was stopped urgently and emergency response was initiated. The situation had imminent potential for fatality and was escalated immediately.",Critical,1
NM_0257,Near Miss,Gas processing unit,Scaffold modification,Pneumatic energy isolation was not locked and residual pressure remained in the line,Energy Isolation,Inspection revealed Pneumatic energy isolation was not locked and residual pressure remained in the line during Scaffold modification at Gas processing unit. Work was stopped temporarily and resumed after verification. The supervisor reviewed the situation and approved continuation after correction.,Inspection revealed Pneumatic energy isolation was not locked and residual pressure remained in the line during Scaffold modification at Gas processing unit. Work was stopped temporarily and resumed after verification. The supervisor reviewed the situation and approved continuation after correction.,[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Scaffold modification [BARRIER_FAILURE] Pneumatic energy isolation was not locked and residual pressure remained in the line [IOGP_RULE] Energy Isolation [TEXT] Inspection revealed Pneumatic energy isolation was not locked and residual pressure remained in the line during Scaffold modification at Gas processing unit. Work was stopped temporarily and resumed after verification. The supervisor reviewed the situation and approved continuation after correction.,Medium,0
NM_0587,Near Miss,Field office area,Pressure vessel testing,Simultaneous operations were not recorded in the permit briefing,Confined Space,"Before/during Pressure vessel testing at Field office area, Simultaneous operations were not recorded in the permit briefing. Critical control failure was corrected before resuming work. Work was halted due to high-risk exposure and corrective measures were implemented.","Before/during Pressure vessel testing at Field office area, Simultaneous operations were not recorded in the permit briefing. Critical control failure was corrected before resuming work. Work was halted due to high-risk exposure and corrective measures were implemented.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Pressure vessel testing [BARRIER_FAILURE] Simultaneous operations were not recorded in the permit briefing [IOGP_RULE] Confined Space [TEXT] Before/during Pressure vessel testing at Field office area, Simultaneous operations were not recorded in the permit briefing. Critical control failure was corrected before resuming work. Work was halted due to high-risk exposure and corrective measures were implemented.",High,1
NM_0388,Near Miss,Storage depot,Night driving to remote site,Lift plan missing,Safe Mechanical Lifting,"Inspection revealed Lift plan missing during Night driving to remote site at Storage depot. The activity was delayed pending correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","Inspection revealed Lift plan missing during Night driving to remote site at Storage depot. The activity was delayed pending correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","[REPORT_TYPE] Near Miss [SITE] Storage depot [ACTIVITY] Night driving to remote site [BARRIER_FAILURE] Lift plan missing [IOGP_RULE] Safe Mechanical Lifting [TEXT] Inspection revealed Lift plan missing during Night driving to remote site at Storage depot. The activity was delayed pending correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",Medium,0
NM_0223,Near Miss,Pipeline ROW,Electrical maintenance,Spill containment missing,Energy Isolation,"A Spill containment missing was identified during Electrical maintenance at Pipeline ROW. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","A Spill containment missing was identified during Electrical maintenance at Pipeline ROW. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Electrical maintenance [BARRIER_FAILURE] Spill containment missing [IOGP_RULE] Energy Isolation [TEXT] A Spill containment missing was identified during Electrical maintenance at Pipeline ROW. The supervisor reviewed and approved continuation after correction. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",Medium,0
NM_0243,Near Miss,LPG bottling plant,Manual handling of tubulars,Warning sign missing,Working at Height,A Warning sign missing was identified during Manual handling of tubulars at LPG bottling plant. The job proceeded only after corrective measures. The crew escalated the issue through the shift safety meeting and closed it before continuation.,A Warning sign missing was identified during Manual handling of tubulars at LPG bottling plant. The job proceeded only after corrective measures. The crew escalated the issue through the shift safety meeting and closed it before continuation.,[REPORT_TYPE] Near Miss [SITE] LPG bottling plant [ACTIVITY] Manual handling of tubulars [BARRIER_FAILURE] Warning sign missing [IOGP_RULE] Working at Height [TEXT] A Warning sign missing was identified during Manual handling of tubulars at LPG bottling plant. The job proceeded only after corrective measures. The crew escalated the issue through the shift safety meeting and closed it before continuation.,Medium,0
NM_0715,Near Miss,Storage depot,Night driving to remote site,Atmosphere not tested,Confined Space,"Near-miss observation: while performing Night driving to remote site at Storage depot, the team found that Atmosphere not tested. Work was stopped urgently and emergency response was initiated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","Near-miss observation: while performing Night driving to remote site at Storage depot, the team found that Atmosphere not tested. Work was stopped urgently and emergency response was initiated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","[REPORT_TYPE] Near Miss [SITE] Storage depot [ACTIVITY] Night driving to remote site [BARRIER_FAILURE] Atmosphere not tested [IOGP_RULE] Confined Space [TEXT] Near-miss observation: while performing Night driving to remote site at Storage depot, the team found that Atmosphere not tested. Work was stopped urgently and emergency response was initiated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",Critical,1
NM_0121,Near Miss,Drilling rig,Loading/unloading operations,Trip interlock was found bypassed during a production upset,Bypassing Safety Controls,"Before/during Loading/unloading operations at Drilling rig, Trip interlock was found bypassed during a production upset. No work stoppage was required. The observation was logged and addressed during the same shift.","Before/during Loading/unloading operations at Drilling rig, Trip interlock was found bypassed during a production upset. No work stoppage was required. The observation was logged and addressed during the same shift.","[REPORT_TYPE] Near Miss [SITE] Drilling rig [ACTIVITY] Loading/unloading operations [BARRIER_FAILURE] Trip interlock was found bypassed during a production upset [IOGP_RULE] Bypassing Safety Controls [TEXT] Before/during Loading/unloading operations at Drilling rig, Trip interlock was found bypassed during a production upset. No work stoppage was required. The observation was logged and addressed during the same shift.",Low,0
NM_0194,Near Miss,Refinery unit,Pump maintenance,Reversing was attempted without a banksman and pedestrian segregation,Driving,"Shift crew reported that during Pump maintenance in Refinery unit, Reversing was attempted without a banksman and pedestrian segregation. No work stoppage was required. The observation was logged and addressed during the same shift.","Shift crew reported that during Pump maintenance in Refinery unit, Reversing was attempted without a banksman and pedestrian segregation. No work stoppage was required. The observation was logged and addressed during the same shift.","[REPORT_TYPE] Near Miss [SITE] Refinery unit [ACTIVITY] Pump maintenance [BARRIER_FAILURE] Reversing was attempted without a banksman and pedestrian segregation [IOGP_RULE] Driving [TEXT] Shift crew reported that during Pump maintenance in Refinery unit, Reversing was attempted without a banksman and pedestrian segregation. No work stoppage was required. The observation was logged and addressed during the same shift.",Low,0
NM_0778,Near Miss,Tank farm,Breaking a pressurised flange,Open edge protection and full-body harness anchorage were unavailable,Working at Height,"During routine checks at Tank farm, Open edge protection and full-body harness anchorage were unavailable was observed during Breaking a pressurised flange. Actual exposure to hazardous conditions occurred. Personnel were moved to a safe location and the event was treated as a high-potential near miss.","During routine checks at Tank farm, Open edge protection and full-body harness anchorage were unavailable was observed during Breaking a pressurised flange. Actual exposure to hazardous conditions occurred. Personnel were moved to a safe location and the event was treated as a high-potential near miss.","[REPORT_TYPE] Near Miss [SITE] Tank farm [ACTIVITY] Breaking a pressurised flange [BARRIER_FAILURE] Open edge protection and full-body harness anchorage were unavailable [IOGP_RULE] Working at Height [TEXT] During routine checks at Tank farm, Open edge protection and full-body harness anchorage were unavailable was observed during Breaking a pressurised flange. Actual exposure to hazardous conditions occurred. Personnel were moved to a safe location and the event was treated as a high-potential near miss.",Critical,1
NM_0043,Near Miss,Pipeline ROW,Electrical maintenance,Atmosphere not tested,Confined Space,"Near-miss observation: while performing Electrical maintenance at Pipeline ROW, the team found that Atmosphere not tested. The area was corrected immediately. No work stoppage was required as the risk was minimal.","Near-miss observation: while performing Electrical maintenance at Pipeline ROW, the team found that Atmosphere not tested. The area was corrected immediately. No work stoppage was required as the risk was minimal.","[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Electrical maintenance [BARRIER_FAILURE] Atmosphere not tested [IOGP_RULE] Confined Space [TEXT] Near-miss observation: while performing Electrical maintenance at Pipeline ROW, the team found that Atmosphere not tested. The area was corrected immediately. No work stoppage was required as the risk was minimal.",Low,0
NM_0696,Near Miss,Drilling rig,Breaking a pressurised flange,Spill containment missing,Confined Space,"During routine checks at Drilling rig, Spill containment missing was observed during Breaking a pressurised flange. Actual exposure to hazardous conditions occurred. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","During routine checks at Drilling rig, Spill containment missing was observed during Breaking a pressurised flange. Actual exposure to hazardous conditions occurred. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","[REPORT_TYPE] Near Miss [SITE] Drilling rig [ACTIVITY] Breaking a pressurised flange [BARRIER_FAILURE] Spill containment missing [IOGP_RULE] Confined Space [TEXT] During routine checks at Drilling rig, Spill containment missing was observed during Breaking a pressurised flange. Actual exposure to hazardous conditions occurred. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",Critical,1
NM_0078,Near Miss,Offshore platform,Lifting valve actuator,Driver fatigue screening and journey-management check were incomplete,Safe Mechanical Lifting,"Shift crew reported that during Lifting valve actuator in Offshore platform, Driver fatigue screening and journey-management check were incomplete. Corrective action was taken on the spot. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","Shift crew reported that during Lifting valve actuator in Offshore platform, Driver fatigue screening and journey-management check were incomplete. Corrective action was taken on the spot. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Offshore platform [ACTIVITY] Lifting valve actuator [BARRIER_FAILURE] Driver fatigue screening and journey-management check were incomplete [IOGP_RULE] Safe Mechanical Lifting [TEXT] Shift crew reported that during Lifting valve actuator in Offshore platform, Driver fatigue screening and journey-management check were incomplete. Corrective action was taken on the spot. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0145,Near Miss,Compressor station,Confined space entry,Emergency access route was partly obstructed by temporary materials,Confined Space,A Emergency access route was partly obstructed by temporary materials was identified during Confined space entry at Compressor station. The area was corrected immediately. No work stoppage was required as the risk was minimal.,A Emergency access route was partly obstructed by temporary materials was identified during Confined space entry at Compressor station. The area was corrected immediately. No work stoppage was required as the risk was minimal.,[REPORT_TYPE] Near Miss [SITE] Compressor station [ACTIVITY] Confined space entry [BARRIER_FAILURE] Emergency access route was partly obstructed by temporary materials [IOGP_RULE] Confined Space [TEXT] A Emergency access route was partly obstructed by temporary materials was identified during Confined space entry at Compressor station. The area was corrected immediately. No work stoppage was required as the risk was minimal.,Low,0
NM_0300,Near Miss,Pump station,Sampling and testing,PPE not used,None/Not Applicable,"Near-miss observation: while performing Sampling and testing at Pump station, the team found that PPE not used. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.","Near-miss observation: while performing Sampling and testing at Pump station, the team found that PPE not used. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.","[REPORT_TYPE] Near Miss [SITE] Pump station [ACTIVITY] Sampling and testing [BARRIER_FAILURE] PPE not used [IOGP_RULE] None/Not Applicable [TEXT] Near-miss observation: while performing Sampling and testing at Pump station, the team found that PPE not used. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.",Medium,0
NM_0247,Near Miss,Pipeline ROW,Valve maintenance,Lockout-tagout missing,Energy Isolation,"Near-miss observation: while performing Valve maintenance at Pipeline ROW, the team found that Lockout-tagout missing. The supervisor reviewed and approved continuation after correction. No one was exposed, but the observation required a documented corrective action.","Near-miss observation: while performing Valve maintenance at Pipeline ROW, the team found that Lockout-tagout missing. The supervisor reviewed and approved continuation after correction. No one was exposed, but the observation required a documented corrective action.","[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Valve maintenance [BARRIER_FAILURE] Lockout-tagout missing [IOGP_RULE] Energy Isolation [TEXT] Near-miss observation: while performing Valve maintenance at Pipeline ROW, the team found that Lockout-tagout missing. The supervisor reviewed and approved continuation after correction. No one was exposed, but the observation required a documented corrective action.",Medium,0
NM_0660,Near Miss,Pipeline ROW,Housekeeping inspection,Permit missing,Work Authorization,"A Permit missing was identified during Housekeeping inspection at Pipeline ROW. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","A Permit missing was identified during Housekeeping inspection at Pipeline ROW. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Housekeeping inspection [BARRIER_FAILURE] Permit missing [IOGP_RULE] Work Authorization [TEXT] A Permit missing was identified during Housekeeping inspection at Pipeline ROW. Actual exposure to hazardous conditions occurred. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",Critical,1
NM_0059,Near Miss,Truck loading bay,Valve maintenance,Pneumatic energy isolation was not locked and residual pressure remained in the line,Energy Isolation,"Shift crew reported that during Valve maintenance in Truck loading bay, Pneumatic energy isolation was not locked and residual pressure remained in the line. The team corrected it without delay. The team recorded the observation and completed immediate housekeeping correction.","Shift crew reported that during Valve maintenance in Truck loading bay, Pneumatic energy isolation was not locked and residual pressure remained in the line. The team corrected it without delay. The team recorded the observation and completed immediate housekeeping correction.","[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Valve maintenance [BARRIER_FAILURE] Pneumatic energy isolation was not locked and residual pressure remained in the line [IOGP_RULE] Energy Isolation [TEXT] Shift crew reported that during Valve maintenance in Truck loading bay, Pneumatic energy isolation was not locked and residual pressure remained in the line. The team corrected it without delay. The team recorded the observation and completed immediate housekeeping correction.",Low,0
NM_0113,Near Miss,Field office area,Electrical maintenance,Procedure not followed,Energy Isolation,"During routine checks at Field office area, Procedure not followed was observed during Electrical maintenance. Work was paused briefly and the issue was resolved. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","During routine checks at Field office area, Procedure not followed was observed during Electrical maintenance. Work was paused briefly and the issue was resolved. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Electrical maintenance [BARRIER_FAILURE] Procedure not followed [IOGP_RULE] Energy Isolation [TEXT] During routine checks at Field office area, Procedure not followed was observed during Electrical maintenance. Work was paused briefly and the issue was resolved. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0717,Near Miss,Pipeline ROW,Valve maintenance,Fire watch missing,Hot Work,"Before/during Valve maintenance at Pipeline ROW, Fire watch missing. Actual exposure to hazardous conditions occurred. All personnel were evacuated and the area was secured pending full investigation.","Before/during Valve maintenance at Pipeline ROW, Fire watch missing. Actual exposure to hazardous conditions occurred. All personnel were evacuated and the area was secured pending full investigation.","[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Valve maintenance [BARRIER_FAILURE] Fire watch missing [IOGP_RULE] Hot Work [TEXT] Before/during Valve maintenance at Pipeline ROW, Fire watch missing. Actual exposure to hazardous conditions occurred. All personnel were evacuated and the area was secured pending full investigation.",Critical,1
NM_0023,Near Miss,Wellsite,Hot work (welding/grinding),"No pre-entry gas test, attendant, rescue arrangement, or signed entry permit",Confined Space,"During routine checks at Wellsite, No pre-entry gas test, attendant, rescue arrangement, or signed entry permit was observed during Hot work (welding/grinding). No work stoppage was required. The observation was logged and addressed during the same shift.","During routine checks at Wellsite, No pre-entry gas test, attendant, rescue arrangement, or signed entry permit was observed during Hot work (welding/grinding). No work stoppage was required. The observation was logged and addressed during the same shift.","[REPORT_TYPE] Near Miss [SITE] Wellsite [ACTIVITY] Hot work (welding/grinding) [BARRIER_FAILURE] No pre-entry gas test, attendant, rescue arrangement, or signed entry permit [IOGP_RULE] Confined Space [TEXT] During routine checks at Wellsite, No pre-entry gas test, attendant, rescue arrangement, or signed entry permit was observed during Hot work (welding/grinding). No work stoppage was required. The observation was logged and addressed during the same shift.",Low,0
NM_0289,Near Miss,Storage depot,Excavation work,Line was not depressurised and workers were positioned in the potential release path,Line of Fire,"Inspection revealed Line was not depressurised and workers were positioned in the potential release path during Excavation work at Storage depot. Work was paused until the issue was addressed. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","Inspection revealed Line was not depressurised and workers were positioned in the potential release path during Excavation work at Storage depot. Work was paused until the issue was addressed. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","[REPORT_TYPE] Near Miss [SITE] Storage depot [ACTIVITY] Excavation work [BARRIER_FAILURE] Line was not depressurised and workers were positioned in the potential release path [IOGP_RULE] Line of Fire [TEXT] Inspection revealed Line was not depressurised and workers were positioned in the potential release path during Excavation work at Storage depot. Work was paused until the issue was addressed. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",Medium,0
NM_0107,Near Miss,Pipeline ROW,Drilling operations,Equipment defect,Line of Fire,"Near-miss observation: while performing Drilling operations at Pipeline ROW, the team found that Equipment defect. The area was corrected immediately. No work stoppage was required as the risk was minimal.","Near-miss observation: while performing Drilling operations at Pipeline ROW, the team found that Equipment defect. The area was corrected immediately. No work stoppage was required as the risk was minimal.","[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Drilling operations [BARRIER_FAILURE] Equipment defect [IOGP_RULE] Line of Fire [TEXT] Near-miss observation: while performing Drilling operations at Pipeline ROW, the team found that Equipment defect. The area was corrected immediately. No work stoppage was required as the risk was minimal.",Low,0
NM_0701,Near Miss,Gas processing unit,Tank farm operations,Excavation edge was not barricaded and underground utility mark-out was incomplete,Confined Space,"Near-miss observation: while performing Tank farm operations at Gas processing unit, the team found that Excavation edge was not barricaded and underground utility mark-out was incomplete. Actual exposure to hazardous conditions occurred. Personnel were moved to a safe location and the event was treated as a high-potential near miss.","Near-miss observation: while performing Tank farm operations at Gas processing unit, the team found that Excavation edge was not barricaded and underground utility mark-out was incomplete. Actual exposure to hazardous conditions occurred. Personnel were moved to a safe location and the event was treated as a high-potential near miss.","[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Tank farm operations [BARRIER_FAILURE] Excavation edge was not barricaded and underground utility mark-out was incomplete [IOGP_RULE] Confined Space [TEXT] Near-miss observation: while performing Tank farm operations at Gas processing unit, the team found that Excavation edge was not barricaded and underground utility mark-out was incomplete. Actual exposure to hazardous conditions occurred. Personnel were moved to a safe location and the event was treated as a high-potential near miss.",Critical,1
NM_0511,Near Miss,Drilling rig,Grinding near drain,PPE not used,Hot Work,"During routine checks at Drilling rig, PPE not used was observed during Grinding near drain. Work was stopped due to potential serious injury risk. A supervisor issued a stop-work intervention and required a formal control verification.","During routine checks at Drilling rig, PPE not used was observed during Grinding near drain. Work was stopped due to potential serious injury risk. A supervisor issued a stop-work intervention and required a formal control verification.","[REPORT_TYPE] Near Miss [SITE] Drilling rig [ACTIVITY] Grinding near drain [BARRIER_FAILURE] PPE not used [IOGP_RULE] Hot Work [TEXT] During routine checks at Drilling rig, PPE not used was observed during Grinding near drain. Work was stopped due to potential serious injury risk. A supervisor issued a stop-work intervention and required a formal control verification.",High,1
