report_id,site,activity,description_raw,binary_sif,sif_probability,priority
OIL-UC-1142,Offshore Rig-04,Shift changeover check,"Storage shelf near Catwalk / V-Door found with non-hazardous spares stacked slightly above the marked height line, about 12 cm over.",0,0.04,Low
OIL-UC-1143,Guwahati Pipeline Station,Contractor oversight visit,"Chair in the rest area near LCNG/LNG Dispensing Station found with a slightly loose leg, wobble noted but stable under normal use, reported 38 days ago.",0,0.15,Low
OIL-UC-1144,Duliajan Oilfield,Routine inspection round,"Faded lane-marking paint observed near the Perforating Gun Store parking area, visibility reduced by roughly 14%.",0,0.11,Low
OIL-UC-1145,Digboi Refinery,Contractor oversight visit,"Small water stain noted on a ceiling tile near Ethanol Storage Tanks, traced to an old, now-repaired roof leak; no active leak for over 8 weeks.",0,0.13,Low
OIL-UC-1146,Jorhat Operations,Emergency-readiness drill prep,"Visitor log near Training Center found with 9 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.16,Low
OIL-UC-1147,Moran Oilfield,Audit/compliance walkthrough,"Garden hose found coiled loosely across a low-traffic pedestrian path near Drilling Rig Substructure, left out for approximately 24 hours.",0,0.09,Low
OIL-UC-1148,Offshore Rig-04,Contractor oversight visit,"Lint buildup observed inside a utility dryer vent near Catwalk / V-Door, last cleaned approximately 34 months ago.",0,0.07,Low
OIL-UC-1149,Guwahati Pipeline Station,Pre-operation verification,"Utility shelf near TTPA (Tank Truck Parking Area) found with cleaning supplies stacked neatly but close to the marked capacity line, about 8% full.",0,0.15,Low
OIL-UC-1150,Duliajan Oilfield,Pre-operation verification,"Small puddle of rainwater observed near Water Treatment Plant, 11 metres away from any electrical or process equipment.",0,0.05,Low
OIL-UC-1151,Digboi Refinery,Emergency-readiness drill prep,"Outdated version of a general facility map displayed near Hydrocracker Unit, superseded layout approximately 36 months old.",0,0.09,Low
OIL-UC-1152,Jorhat Operations,Shift changeover check,"Bicycle/scooter parking area near Diesel Fuel Island found with uneven surface in one corner, away from any vehicle movement path, noted 39 days ago.",0,0.07,Low
OIL-UC-1153,Moran Oilfield,Shift changeover check,Security logbook near Rig Floor Catwalk / V-Door found with a supply gap (pen missing) for about 7 hours; log itself was maintained without interruption.,0,0.14,Low
OIL-UC-1154,Offshore Rig-04,Audit/compliance walkthrough,"Minor rust patch observed on a non-structural roof panel near Life Boat Station, no leak or structural concern identified over 38 months of monitoring.",0,0.12,Low
OIL-UC-1155,Guwahati Pipeline Station,Emergency-readiness drill prep,"Break-room refrigerator near Pig Launcher found running slightly warm (33 degrees above setpoint), no food-safety incident reported.",0,0.07,Low
OIL-UC-1156,Duliajan Oilfield,Emergency-readiness drill prep,Signage near Central Tank Farm directing to the muster point found slightly faded but still legible from 24 metres.,0,0.06,Low
OIL-UC-1157,Digboi Refinery,Routine inspection round,"Non-critical spare-parts bin near Hydrocracker Unit found unlabeled for approximately 37 weeks, contents still identifiable by staff.",0,0.1,Low
OIL-UC-1158,Jorhat Operations,Contractor oversight visit,Low-traffic footpath near Central Workshop found with overgrown vegetation encroaching about 17 cm into the walkway.,0,0.08,Low
OIL-UC-1159,Moran Oilfield,Contractor oversight visit,Notice board near Rig Floor Catwalk / V-Door found with 17 outdated circulars still pinned alongside current ones.,0,0.09,Low
OIL-UC-1160,Offshore Rig-04,Emergency-readiness drill prep,Noticeboard near Life Boat Station displaying a safety poster overdue for its 30-month scheduled update.,0,0.03,Low
OIL-UC-1161,Guwahati Pipeline Station,Contractor oversight visit,"Walkway near SCADA Control Room found with a small patch of loose gravel, 27 metres from any vehicle or process route.",0,0.06,Low
OIL-UC-1162,Duliajan Oilfield,Audit/compliance walkthrough,"Storage shelf near Chemical Injection Skid found with non-hazardous spares stacked slightly above the marked height line, about 32 cm over.",0,0.1,Low
OIL-UC-1163,Digboi Refinery,Shift changeover check,"Chair in the rest area near LPG Bottling Plant found with a slightly loose leg, wobble noted but stable under normal use, reported 23 days ago.",0,0.12,Low
OIL-UC-1164,Jorhat Operations,Scheduled maintenance walkdown,"Faded lane-marking paint observed near the Warehouse parking area, visibility reduced by roughly 18%.",0,0.05,Low
OIL-UC-1165,Moran Oilfield,Contractor oversight visit,"Small water stain noted on a ceiling tile near Cementing Unit, traced to an old, now-repaired roof leak; no active leak for over 9 weeks.",0,0.1,Low
OIL-UC-1166,Offshore Rig-04,Scheduled maintenance walkdown,"Visitor log near Main Deck Crane found with 14 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.13,Low
OIL-UC-1167,Guwahati Pipeline Station,Emergency-readiness drill prep,"Garden hose found coiled loosely across a low-traffic pedestrian path near LCNG/LNG Dispensing Station, left out for approximately 8 hours.",0,0.06,Low
OIL-UC-1168,Duliajan Oilfield,Shift changeover check,"Lint buildup observed inside a utility dryer vent near Chemical Injection Skid, last cleaned approximately 13 months ago.",0,0.03,Low
OIL-UC-1169,Digboi Refinery,Routine inspection round,"Utility shelf near Benzene Storage Tank Farm found with cleaning supplies stacked neatly but close to the marked capacity line, about 19% full.",0,0.16,Low
OIL-UC-1170,Jorhat Operations,Contractor oversight visit,"Small puddle of rainwater observed near Warehouse, 10 metres away from any electrical or process equipment.",0,0.14,Low
OIL-UC-1171,Moran Oilfield,Audit/compliance walkthrough,"Outdated version of a general facility map displayed near Drilling Rig Substructure, superseded layout approximately 2 months old.",0,0.07,Low
OIL-UC-1172,Offshore Rig-04,Scheduled maintenance walkdown,"Bicycle/scooter parking area near Life Boat Station found with uneven surface in one corner, away from any vehicle movement path, noted 23 days ago.",0,0.16,Low
OIL-UC-1173,Guwahati Pipeline Station,Emergency-readiness drill prep,Security logbook near TTPA (Tank Truck Parking Area) found with a supply gap (pen missing) for about 9 hours; log itself was maintained without interruption.,0,0.04,Low
OIL-UC-1174,Duliajan Oilfield,Contractor oversight visit,"Minor rust patch observed on a non-structural roof panel near Workover Rig Site, no leak or structural concern identified over 38 months of monitoring.",0,0.12,Low
OIL-UC-1175,Digboi Refinery,Shift changeover check,"Break-room refrigerator near Benzene Storage Tank Farm found running slightly warm (38 degrees above setpoint), no food-safety incident reported.",0,0.04,Low
OIL-UC-1176,Jorhat Operations,Emergency-readiness drill prep,Signage near Central Workshop directing to the muster point found slightly faded but still legible from 37 metres.,0,0.08,Low
OIL-UC-1177,Moran Oilfield,Emergency-readiness drill prep,"Non-critical spare-parts bin near Rig Floor Catwalk / V-Door found unlabeled for approximately 16 weeks, contents still identifiable by staff.",0,0.1,Low
OIL-UC-1178,Offshore Rig-04,Emergency-readiness drill prep,Low-traffic footpath near Life Boat Station found with overgrown vegetation encroaching about 21 cm into the walkway.,0,0.11,Low
OIL-UC-1179,Guwahati Pipeline Station,Audit/compliance walkthrough,Notice board near LCNG/LNG Dispensing Station found with 38 outdated circulars still pinned alongside current ones.,0,0.04,Low
OIL-UC-1180,Duliajan Oilfield,Contractor oversight visit,Noticeboard near Workover Rig Site displaying a safety poster overdue for its 15-month scheduled update.,0,0.06,Low
OIL-UC-1181,Digboi Refinery,Scheduled maintenance walkdown,"Walkway near Reboiler Furnace Bay found with a small patch of loose gravel, 12 metres from any vehicle or process route.",0,0.05,Low
OIL-UC-1182,Jorhat Operations,Pre-operation verification,"Storage shelf near Fire Station found with non-hazardous spares stacked slightly above the marked height line, about 2 cm over.",0,0.09,Low
OIL-UC-1183,Moran Oilfield,Routine inspection round,"Chair in the rest area near Well Test Separator found with a slightly loose leg, wobble noted but stable under normal use, reported 20 days ago.",0,0.06,Low
OIL-UC-1184,Offshore Rig-04,Routine inspection round,"Faded lane-marking paint observed near the Moon Pool Area parking area, visibility reduced by roughly 31%.",0,0.12,Low
OIL-UC-1185,Guwahati Pipeline Station,Routine inspection round,"Small water stain noted on a ceiling tile near SCADA Control Room, traced to an old, now-repaired roof leak; no active leak for over 29 weeks.",0,0.1,Low
OIL-UC-1186,Duliajan Oilfield,Emergency-readiness drill prep,"Visitor log near Gas Compressor Station found with 19 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.05,Low
OIL-UC-1187,Digboi Refinery,Audit/compliance walkthrough,"Garden hose found coiled loosely across a low-traffic pedestrian path near Benzene Storage Tank Farm, left out for approximately 21 hours.",0,0.13,Low
OIL-UC-1188,Jorhat Operations,Routine inspection round,"Lint buildup observed inside a utility dryer vent near Warehouse, last cleaned approximately 30 months ago.",0,0.09,Low
OIL-UC-1189,Moran Oilfield,Shift changeover check,"Utility shelf near Telescopic Mast Assembly found with cleaning supplies stacked neatly but close to the marked capacity line, about 27% full.",0,0.1,Low
OIL-UC-1190,Offshore Rig-04,Audit/compliance walkthrough,"Small puddle of rainwater observed near Life Boat Station, 7 metres away from any electrical or process equipment.",0,0.04,Low
OIL-UC-1191,Guwahati Pipeline Station,Shift changeover check,"Outdated version of a general facility map displayed near 220kV Cable Trench (RCC), superseded layout approximately 40 months old.",0,0.03,Low
OIL-UC-1192,Duliajan Oilfield,Audit/compliance walkthrough,"Bicycle/scooter parking area near Wellhead Cluster 3 found with uneven surface in one corner, away from any vehicle movement path, noted 19 days ago.",0,0.04,Low
OIL-UC-1193,Digboi Refinery,Audit/compliance walkthrough,Security logbook near Benzene Storage Tank Farm found with a supply gap (pen missing) for about 32 hours; log itself was maintained without interruption.,0,0.11,Low
OIL-UC-1194,Jorhat Operations,Pre-operation verification,"Minor rust patch observed on a non-structural roof panel near Fire Station, no leak or structural concern identified over 39 months of monitoring.",0,0.11,Low
OIL-UC-1195,Moran Oilfield,Shift changeover check,"Break-room refrigerator near Drilling Rig Substructure found running slightly warm (32 degrees above setpoint), no food-safety incident reported.",0,0.08,Low
OIL-UC-1196,Offshore Rig-04,Shift changeover check,Signage near Catwalk / V-Door directing to the muster point found slightly faded but still legible from 12 metres.,0,0.08,Low
OIL-UC-1197,Guwahati Pipeline Station,Emergency-readiness drill prep,"Non-critical spare-parts bin near LCNG/LNG Dispensing Station found unlabeled for approximately 27 weeks, contents still identifiable by staff.",0,0.13,Low
OIL-UC-1198,Duliajan Oilfield,Shift changeover check,Low-traffic footpath near Water Treatment Plant found with overgrown vegetation encroaching about 7 cm into the walkway.,0,0.06,Low
OIL-UC-1199,Digboi Refinery,Emergency-readiness drill prep,Notice board near Battery Room found with 34 outdated circulars still pinned alongside current ones.,0,0.16,Low
OIL-UC-1200,Jorhat Operations,Pre-operation verification,Noticeboard near Diesel Fuel Island displaying a safety poster overdue for its 36-month scheduled update.,0,0.08,Low
OIL-UC-1201,Moran Oilfield,Audit/compliance walkthrough,"Walkway near Camp Site found with a small patch of loose gravel, 25 metres from any vehicle or process route.",0,0.13,Low
OIL-UC-1202,Offshore Rig-04,Scheduled maintenance walkdown,"Storage shelf near Life Boat Station found with non-hazardous spares stacked slightly above the marked height line, about 5 cm over.",0,0.06,Low
OIL-UC-1203,Guwahati Pipeline Station,Contractor oversight visit,"Chair in the rest area near LCNG/LNG Dispensing Station found with a slightly loose leg, wobble noted but stable under normal use, reported 30 days ago.",0,0.09,Low
OIL-UC-1204,Duliajan Oilfield,Shift changeover check,"Faded lane-marking paint observed near the Central Tank Farm parking area, visibility reduced by roughly 12%.",0,0.1,Low
OIL-UC-1205,Digboi Refinery,Scheduled maintenance walkdown,"Small water stain noted on a ceiling tile near Battery Room, traced to an old, now-repaired roof leak; no active leak for over 7 weeks.",0,0.16,Low
OIL-UC-1206,Jorhat Operations,Contractor oversight visit,"Visitor log near Compressed Gas Store found with 9 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.14,Low
OIL-UC-1207,Moran Oilfield,Audit/compliance walkthrough,"Garden hose found coiled loosely across a low-traffic pedestrian path near Telescopic Mast Assembly, left out for approximately 20 hours.",0,0.12,Low
OIL-UC-1208,Offshore Rig-04,Scheduled maintenance walkdown,"Lint buildup observed inside a utility dryer vent near Life Boat Station, last cleaned approximately 32 months ago.",0,0.09,Low
OIL-UC-1209,Guwahati Pipeline Station,Audit/compliance walkthrough,"Utility shelf near Pipeline ROW River Crossing found with cleaning supplies stacked neatly but close to the marked capacity line, about 14% full.",0,0.1,Low
OIL-UC-1210,Duliajan Oilfield,Emergency-readiness drill prep,"Small puddle of rainwater observed near Workover Rig Site, 19 metres away from any electrical or process equipment.",0,0.13,Low
OIL-UC-1211,Digboi Refinery,Shift changeover check,"Outdated version of a general facility map displayed near Boiler House, superseded layout approximately 34 months old.",0,0.14,Low
OIL-UC-1212,Jorhat Operations,Emergency-readiness drill prep,"Bicycle/scooter parking area near Fleet Operations Yard found with uneven surface in one corner, away from any vehicle movement path, noted 21 days ago.",0,0.11,Low
OIL-UC-1213,Moran Oilfield,Pre-operation verification,Security logbook near Well Test Separator found with a supply gap (pen missing) for about 11 hours; log itself was maintained without interruption.,0,0.1,Low
OIL-UC-1214,Offshore Rig-04,Emergency-readiness drill prep,"Minor rust patch observed on a non-structural roof panel near Mud Pump Room, no leak or structural concern identified over 37 months of monitoring.",0,0.1,Low
OIL-UC-1215,Guwahati Pipeline Station,Contractor oversight visit,"Break-room refrigerator near 220kV Cable Trench (RCC) found running slightly warm (14 degrees above setpoint), no food-safety incident reported.",0,0.06,Low
OIL-UC-1216,Duliajan Oilfield,Routine inspection round,Signage near Central Tank Farm directing to the muster point found slightly faded but still legible from 28 metres.,0,0.07,Low
OIL-UC-1217,Digboi Refinery,Contractor oversight visit,"Non-critical spare-parts bin near Battery Room found unlabeled for approximately 26 weeks, contents still identifiable by staff.",0,0.13,Low
OIL-UC-1218,Jorhat Operations,Routine inspection round,Low-traffic footpath near Fire Station found with overgrown vegetation encroaching about 33 cm into the walkway.,0,0.05,Low
OIL-UC-1219,Moran Oilfield,Emergency-readiness drill prep,Notice board near Cementing Unit found with 8 outdated circulars still pinned alongside current ones.,0,0.14,Low
OIL-UC-1220,Offshore Rig-04,Routine inspection round,Noticeboard near SPM Mooring Buoy Support Vessel displaying a safety poster overdue for its 31-month scheduled update.,0,0.12,Low
OIL-UC-1221,Guwahati Pipeline Station,Pre-operation verification,"Walkway near Metering Skid found with a small patch of loose gravel, 6 metres from any vehicle or process route.",0,0.13,Low
OIL-UC-1222,Duliajan Oilfield,Contractor oversight visit,"Storage shelf near Chemical Injection Skid found with non-hazardous spares stacked slightly above the marked height line, about 27 cm over.",0,0.04,Low
OIL-UC-1223,Digboi Refinery,Shift changeover check,"Chair in the rest area near LPG Bottling Plant found with a slightly loose leg, wobble noted but stable under normal use, reported 26 days ago.",0,0.11,Low
OIL-UC-1224,Jorhat Operations,Routine inspection round,"Faded lane-marking paint observed near the Compressed Gas Store parking area, visibility reduced by roughly 36%.",0,0.11,Low
OIL-UC-1225,Moran Oilfield,Scheduled maintenance walkdown,"Small water stain noted on a ceiling tile near Telescopic Mast Assembly, traced to an old, now-repaired roof leak; no active leak for over 20 weeks.",0,0.13,Low
OIL-UC-1226,Offshore Rig-04,Pre-operation verification,"Visitor log near Catwalk / V-Door found with 8 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.05,Low
OIL-UC-1227,Guwahati Pipeline Station,Shift changeover check,"Garden hose found coiled loosely across a low-traffic pedestrian path near Pig Launcher, left out for approximately 4 hours.",0,0.13,Low
OIL-UC-1228,Duliajan Oilfield,Pre-operation verification,"Lint buildup observed inside a utility dryer vent near Chemical Injection Skid, last cleaned approximately 25 months ago.",0,0.05,Low
OIL-UC-1229,Digboi Refinery,Contractor oversight visit,"Utility shelf near Battery Room found with cleaning supplies stacked neatly but close to the marked capacity line, about 38% full.",0,0.13,Low
OIL-UC-1230,Jorhat Operations,Audit/compliance walkthrough,"Small puddle of rainwater observed near Fire Station, 7 metres away from any electrical or process equipment.",0,0.14,Low
OIL-UC-1231,Moran Oilfield,Pre-operation verification,"Outdated version of a general facility map displayed near Telescopic Mast Assembly, superseded layout approximately 17 months old.",0,0.15,Low
OIL-UC-1232,Offshore Rig-04,Contractor oversight visit,"Bicycle/scooter parking area near Helideck found with uneven surface in one corner, away from any vehicle movement path, noted 31 days ago.",0,0.06,Low
OIL-UC-1233,Guwahati Pipeline Station,Shift changeover check,Security logbook near Pig Launcher found with a supply gap (pen missing) for about 31 hours; log itself was maintained without interruption.,0,0.12,Low
OIL-UC-1234,Duliajan Oilfield,Shift changeover check,"Minor rust patch observed on a non-structural roof panel near Workover Rig Site, no leak or structural concern identified over 30 months of monitoring.",0,0.16,Low
OIL-UC-1235,Digboi Refinery,Pre-operation verification,"Break-room refrigerator near Battery Room found running slightly warm (18 degrees above setpoint), no food-safety incident reported.",0,0.14,Low
OIL-UC-1236,Jorhat Operations,Routine inspection round,Signage near Compressed Gas Store directing to the muster point found slightly faded but still legible from 32 metres.,0,0.06,Low
OIL-UC-1237,Moran Oilfield,Shift changeover check,"Non-critical spare-parts bin near Cementing Unit found unlabeled for approximately 38 weeks, contents still identifiable by staff.",0,0.16,Low
OIL-UC-1238,Offshore Rig-04,Shift changeover check,Low-traffic footpath near Drill Floor found with overgrown vegetation encroaching about 27 cm into the walkway.,0,0.03,Low
OIL-UC-1239,Guwahati Pipeline Station,Contractor oversight visit,Notice board near Pig Launcher found with 40 outdated circulars still pinned alongside current ones.,0,0.09,Low
OIL-UC-1240,Duliajan Oilfield,Emergency-readiness drill prep,Noticeboard near Central Tank Farm displaying a safety poster overdue for its 40-month scheduled update.,0,0.08,Low
OIL-UC-1241,Digboi Refinery,Contractor oversight visit,"Walkway near Ethanol Storage Tanks found with a small patch of loose gravel, 18 metres from any vehicle or process route.",0,0.13,Low
OIL-UC-1242,Jorhat Operations,Contractor oversight visit,"Storage shelf near Fleet Operations Yard found with non-hazardous spares stacked slightly above the marked height line, about 10 cm over.",0,0.04,Low
OIL-UC-1243,Moran Oilfield,Shift changeover check,"Chair in the rest area near Telescopic Mast Assembly found with a slightly loose leg, wobble noted but stable under normal use, reported 4 days ago.",0,0.13,Low
OIL-UC-1244,Offshore Rig-04,Routine inspection round,"Faded lane-marking paint observed near the Mud Pump Room parking area, visibility reduced by roughly 10%.",0,0.15,Low
OIL-UC-1245,Guwahati Pipeline Station,Scheduled maintenance walkdown,"Small water stain noted on a ceiling tile near Pipeline ROW River Crossing, traced to an old, now-repaired roof leak; no active leak for over 13 weeks.",0,0.05,Low
OIL-UC-1246,Duliajan Oilfield,Audit/compliance walkthrough,"Visitor log near Chemical Injection Skid found with 35 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",0,0.15,Low
OIL-UC-1247,Digboi Refinery,Emergency-readiness drill prep,"Garden hose found coiled loosely across a low-traffic pedestrian path near Hydrocracker Unit, left out for approximately 32 hours.",0,0.07,Low
OIL-UC-1248,Jorhat Operations,Pre-operation verification,"Lint buildup observed inside a utility dryer vent near Diesel Fuel Island, last cleaned approximately 9 months ago.",0,0.16,Low
OIL-UC-1249,Moran Oilfield,Emergency-readiness drill prep,"Utility shelf near Rig Floor Catwalk / V-Door found with cleaning supplies stacked neatly but close to the marked capacity line, about 16% full.",0,0.12,Low
OIL-UC-2000,Duliajan Oilfield,Shift changeover check,"Alarm audibility at Perforating Gun Store found reduced, volume measured roughly 37% below the standard threshold against ambient plant noise.",1,0.3,Medium
OIL-UC-2001,Digboi Refinery,Audit/compliance walkthrough,"Support beam near Naphtha Splitter Unit found with visible surface rust at a load-bearing weld, corrosion depth estimated at 18 mm.",1,0.3,Medium
OIL-UC-2002,Jorhat Operations,Audit/compliance walkthrough,"Nozzle/valve seal at Fleet Operations Yard found with a slow drip, small stain accumulating over approximately 18 hours.",1,0.34,Medium
OIL-UC-2003,Moran Oilfield,Contractor oversight visit,"Low-pressure alarm setpoint at Cementing Unit found miscalibrated by roughly 8%, triggering well below the level needed for fail-safe response.",1,0.32,Medium
OIL-UC-2004,Offshore Rig-04,Audit/compliance walkthrough,Confined-space warning signage at SPM Mooring Buoy Support Vessel found faded and difficult to read from beyond 22 metres.,1,0.32,Medium
OIL-UC-2005,Guwahati Pipeline Station,Contractor oversight visit,"Leak-indication tape near a flange at TTPA (Tank Truck Parking Area) found discolored, consistent with a past minor release roughly 21 weeks ago; no work order raised.",1,0.35,Medium
OIL-UC-2006,Duliajan Oilfield,Shift changeover check,SCADA/monitoring software at Wellhead Cluster 3 flagged as running an unpatched version for approximately 4 months.,1,0.45,Medium
OIL-UC-2007,Digboi Refinery,Audit/compliance walkthrough,"Standing/unacknowledged alarms accumulated in the control interface for Reboiler Furnace Bay, approximately 17 outstanding at time of check.",1,0.3,Medium
OIL-UC-2008,Jorhat Operations,Pre-operation verification,"Handrail section near Warehouse found corroded through in one section, load-bearing capacity untested for 36 months.",1,0.38,Medium
OIL-UC-2009,Moran Oilfield,Contractor oversight visit,Vehicle-lift/lifting aid at Mud Logging Cabin found operating 28 months past its load-test certification date with no re-test scheduled.,1,0.3,Medium
OIL-UC-2010,Offshore Rig-04,Routine inspection round,Cathodic-protection or corrosion-monitoring reading at Accommodation Module found reading zero output for over 19 days; no compensating inspection logged.,1,0.4,Medium
OIL-UC-2011,Guwahati Pipeline Station,Scheduled maintenance walkdown,"Ventilation fan at TTPA (Tank Truck Parking Area) found seized, area temperature elevated by approximately 30 degrees during operation.",1,0.43,Medium
OIL-UC-2012,Duliajan Oilfield,Contractor oversight visit,"Journey/route risk advisory for the route past Chemical Injection Skid found not updated for the current season, last revised 36 months ago.",1,0.34,Medium
OIL-UC-2013,Digboi Refinery,Routine inspection round,"Fire extinguisher near Hydrocracker Unit found with an inspection tag 14 months overdue, unit otherwise appearing intact.",1,0.44,Medium
OIL-UC-2014,Jorhat Operations,Contractor oversight visit,"Access-road culvert crossing near Central Workshop found partially washed out after recent rain, heavy vehicles continuing to use the route for 15 days since.",1,0.39,Medium
OIL-UC-2015,Moran Oilfield,Scheduled maintenance walkdown,"Chemical-injection skid at Drilling Rig Substructure found with a leaking pump seal, product pooling on the skid deck for an estimated 23 hours before being noticed.",1,0.45,Medium
OIL-UC-2016,Offshore Rig-04,Emergency-readiness drill prep,"Racking/shelving at Helideck found with a bent support member on an upper level, load unreduced for 6 days since discovery.",1,0.41,Medium
OIL-UC-2017,Guwahati Pipeline Station,Shift changeover check,"Incompatible materials found stored together near SCADA Control Room (oxidizing and flammable classes), separation short of code by roughly 16 cm.",1,0.41,Medium
OIL-UC-2018,Duliajan Oilfield,Emergency-readiness drill prep,"Wheel-chock use not enforced during a connected transfer operation at Wellhead Cluster 3, observed on 19 occasions this month.",1,0.45,Medium
OIL-UC-2019,Digboi Refinery,Emergency-readiness drill prep,"Emergency shutdown pull-station near LPG Bottling Plant found with a damaged cover, response time estimated 18 seconds slower in a test.",1,0.31,Medium
OIL-UC-2020,Jorhat Operations,Scheduled maintenance walkdown,"Alarm audibility at Diesel Fuel Island found reduced, volume measured roughly 3% below the standard threshold against ambient plant noise.",1,0.28,Low
OIL-UC-2021,Moran Oilfield,Audit/compliance walkthrough,"Support beam near Rig Floor Catwalk / V-Door found with visible surface rust at a load-bearing weld, corrosion depth estimated at 17 mm.",1,0.34,Medium
OIL-UC-2022,Offshore Rig-04,Scheduled maintenance walkdown,"Nozzle/valve seal at Moon Pool Area found with a slow drip, small stain accumulating over approximately 5 hours.",1,0.41,Medium
OIL-UC-2023,Guwahati Pipeline Station,Pre-operation verification,"Low-pressure alarm setpoint at Mainline Block Valve Station found miscalibrated by roughly 6%, triggering well below the level needed for fail-safe response.",1,0.36,Medium
OIL-UC-2024,Duliajan Oilfield,Audit/compliance walkthrough,Confined-space warning signage at Workover Rig Site found faded and difficult to read from beyond 30 metres.,1,0.32,Medium
OIL-UC-2025,Digboi Refinery,Shift changeover check,"Leak-indication tape near a flange at Naphtha Splitter Unit found discolored, consistent with a past minor release roughly 35 weeks ago; no work order raised.",1,0.36,Medium
OIL-UC-2026,Jorhat Operations,Emergency-readiness drill prep,SCADA/monitoring software at Central Workshop flagged as running an unpatched version for approximately 32 months.,1,0.35,Medium
OIL-UC-2027,Moran Oilfield,Contractor oversight visit,"Standing/unacknowledged alarms accumulated in the control interface for Drilling Rig Substructure, approximately 33 outstanding at time of check.",1,0.43,Medium
OIL-UC-2028,Offshore Rig-04,Audit/compliance walkthrough,"Handrail section near Catwalk / V-Door found corroded through in one section, load-bearing capacity untested for 22 months.",1,0.31,Medium
OIL-UC-2029,Guwahati Pipeline Station,Audit/compliance walkthrough,Vehicle-lift/lifting aid at LCNG/LNG Dispensing Station found operating 39 months past its load-test certification date with no re-test scheduled.,1,0.4,Medium
OIL-UC-2030,Duliajan Oilfield,Audit/compliance walkthrough,Cathodic-protection or corrosion-monitoring reading at Flowline ROW Section 4 found reading zero output for over 31 days; no compensating inspection logged.,1,0.38,Medium
OIL-UC-2031,Digboi Refinery,Contractor oversight visit,"Ventilation fan at Reboiler Furnace Bay found seized, area temperature elevated by approximately 37 degrees during operation.",1,0.43,Medium
OIL-UC-2032,Jorhat Operations,Pre-operation verification,"Journey/route risk advisory for the route past Compressed Gas Store found not updated for the current season, last revised 16 months ago.",1,0.34,Medium
OIL-UC-2033,Moran Oilfield,Contractor oversight visit,"Fire extinguisher near Well Test Separator found with an inspection tag 28 months overdue, unit otherwise appearing intact.",1,0.3,Medium
OIL-UC-2034,Offshore Rig-04,Shift changeover check,"Access-road culvert crossing near Mud Pump Room found partially washed out after recent rain, heavy vehicles continuing to use the route for 18 days since.",1,0.44,Medium
OIL-UC-2035,Guwahati Pipeline Station,Routine inspection round,"Chemical-injection skid at TTPA (Tank Truck Parking Area) found with a leaking pump seal, product pooling on the skid deck for an estimated 6 hours before being noticed.",1,0.42,Medium
OIL-UC-2036,Duliajan Oilfield,Contractor oversight visit,"Racking/shelving at Perforating Gun Store found with a bent support member on an upper level, load unreduced for 8 days since discovery.",1,0.41,Medium
OIL-UC-2037,Digboi Refinery,Audit/compliance walkthrough,"Incompatible materials found stored together near LPG Bottling Plant (oxidizing and flammable classes), separation short of code by roughly 5 cm.",1,0.44,Medium
OIL-UC-2038,Jorhat Operations,Pre-operation verification,"Wheel-chock use not enforced during a connected transfer operation at Warehouse, observed on 9 occasions this month.",1,0.34,Medium
OIL-UC-2039,Moran Oilfield,Emergency-readiness drill prep,"Emergency shutdown pull-station near Rig Floor Catwalk / V-Door found with a damaged cover, response time estimated 29 seconds slower in a test.",1,0.44,Medium
OIL-UC-2040,Offshore Rig-04,Shift changeover check,"Alarm audibility at Moon Pool Area found reduced, volume measured roughly 40% below the standard threshold against ambient plant noise.",1,0.34,Medium
OIL-UC-2041,Guwahati Pipeline Station,Contractor oversight visit,"Support beam near SCADA Control Room found with visible surface rust at a load-bearing weld, corrosion depth estimated at 11 mm.",1,0.36,Medium
OIL-UC-2042,Duliajan Oilfield,Shift changeover check,"Nozzle/valve seal at Chemical Injection Skid found with a slow drip, small stain accumulating over approximately 37 hours.",1,0.3,Medium
OIL-UC-2043,Digboi Refinery,Emergency-readiness drill prep,"Low-pressure alarm setpoint at Ethanol Storage Tanks found miscalibrated by roughly 29%, triggering well below the level needed for fail-safe response.",1,0.38,Medium
OIL-UC-2044,Jorhat Operations,Routine inspection round,Confined-space warning signage at Diesel Fuel Island found faded and difficult to read from beyond 37 metres.,1,0.38,Medium
OIL-UC-2045,Moran Oilfield,Routine inspection round,"Leak-indication tape near a flange at Rig Floor Catwalk / V-Door found discolored, consistent with a past minor release roughly 19 weeks ago; no work order raised.",1,0.31,Medium
OIL-UC-2046,Offshore Rig-04,Shift changeover check,SCADA/monitoring software at Moon Pool Area flagged as running an unpatched version for approximately 23 months.,1,0.28,Low
OIL-UC-2047,Guwahati Pipeline Station,Scheduled maintenance walkdown,"Standing/unacknowledged alarms accumulated in the control interface for Pipeline ROW River Crossing, approximately 6 outstanding at time of check.",1,0.41,Medium
OIL-UC-2048,Duliajan Oilfield,Scheduled maintenance walkdown,"Handrail section near Workover Rig Site found corroded through in one section, load-bearing capacity untested for 35 months.",1,0.34,Medium
