report_id,report_type,report_date,site,unit,activity,description_clean,sif_label,binary_sif,sif_probability,life_saving_rules,hazard_energy,barrier_failure,credible_consequence,recommended_action,evidence_text,status
OIL-UC-1149,unsafe conditions,13-03-2026,Guwahati Pipeline Station,TTPA (Tank Truck Parking Area),Pre-operation verification,"Utility shelf near TTPA (Tank Truck Parking Area) found with cleaning supplies stacked neatly but close to the marked capacity line, about 8% full.",Low,0,0.15,Gravity (minimal),Functioning - within capacity despite appearing full,Negligible,Redistribute items for tidiness during next tidy-up,close to the marked capacity line,Utility shelf near TTPA (Tank Truck Parking Area) found with,Open
OIL-UC-1150,unsafe conditions,17-11-2025,Duliajan Oilfield,Water Treatment Plant,Pre-operation verification,"Small puddle of rainwater observed near Water Treatment Plant, 11 metres away from any electrical or process equipment.",Low,0,0.05,Gravity (minor),Functioning - no hazardous interaction present,"Negligible, minor slip risk only","Allow natural drainage, monitor after heavy rain",small puddle of rainwater,Small puddle of rainwater observed near Water Treatment Plan,Resolved
OIL-UC-1151,unsafe conditions,21-08-2025,Digboi Refinery,Hydrocracker Unit,Emergency-readiness drill prep,"Outdated version of a general facility map displayed near Hydrocracker Unit, superseded layout approximately 36 months old.",Low,0,0.09,,Degraded - minor informational lapse,"Negligible, unlikely to cause any operational confusion",Replace with the current facility map,outdated version,Outdated version of a general facility map displayed near Hy,Open
OIL-UC-1152,unsafe conditions,07-02-2025,Jorhat Operations,Diesel Fuel Island,Shift changeover check,"Bicycle/scooter parking area near Diesel Fuel Island found with uneven surface in one corner, away from any vehicle movement path, noted 39 days ago.",Low,0,0.07,Gravity (minor),Degraded - surface maintenance lapse in a low-risk area,"Minor stumble, unlikely to cause significant injury",Level surface during next grounds maintenance,uneven surface in one corner,Bicycle/scooter parking area near Diesel Fuel Island found w,Open
OIL-UC-1153,unsafe conditions,05-02-2025,Moran Oilfield,Rig Floor Catwalk / V-Door,Shift changeover check,Security logbook near Rig Floor Catwalk / V-Door found with a supply gap (pen missing) for about 7 hours; log itself was maintained without interruption.,Low,0,0.14,,Functioning - log maintained despite minor supply gap,Negligible,Restock stationery at the post,supply gap,Security logbook near Rig Floor Catwalk / V-Door found with,Open
OIL-UC-1154,unsafe conditions,11-05-2025,Offshore Rig-04,Life Boat Station,Audit/compliance walkthrough,"Minor rust patch observed on a non-structural roof panel near Life Boat Station, no leak or structural concern identified over 38 months of monitoring.",Low,0,0.12,,Functioning,"Cosmetic, negligible",Monitor at next scheduled facility inspection,minor rust patch,Minor rust patch observed on a non-structural roof panel nea,Resolved
OIL-UC-1155,unsafe conditions,13-10-2025,Guwahati Pipeline Station,Pig Launcher,Emergency-readiness drill prep,"Break-room refrigerator near Pig Launcher found running slightly warm (33 degrees above setpoint), no food-safety incident reported.",Low,0,0.07,,Degraded - minor appliance drift,"Negligible, food-quality concern rather than safety",Service refrigerator at next facilities round,running slightly warm,Break-room refrigerator near Pig Launcher found running slig,Open
OIL-UC-1156,unsafe conditions,14-03-2025,Duliajan Oilfield,Central Tank Farm,Emergency-readiness drill prep,Signage near Central Tank Farm directing to the muster point found slightly faded but still legible from 24 metres.,Low,0,0.06,,Degraded - signage clarity reduced but still functional,"Negligible, minor readability concern",Replace signage at next scheduled refresh,slightly faded but still legible,Signage near Central Tank Farm directing to the muster point,Open
OIL-UC-1157,unsafe conditions,13-12-2024,Digboi Refinery,Hydrocracker Unit,Routine inspection round,"Non-critical spare-parts bin near Hydrocracker Unit found unlabeled for approximately 37 weeks, contents still identifiable by staff.",Low,0,0.1,,Degraded - inventory labeling lapse,"Negligible, minor efficiency impact only",Relabel bin at next inventory round,unlabeled,Non-critical spare-parts bin near Hydrocracker Unit found un,Open
OIL-UC-1158,unsafe conditions,21-12-2025,Jorhat Operations,Central Workshop,Contractor oversight visit,Low-traffic footpath near Central Workshop found with overgrown vegetation encroaching about 17 cm into the walkway.,Low,0,0.08,Gravity (minor),Degraded - vegetation maintenance overdue in a low-risk area,"Minor obstruction, low likelihood of injury",Trim vegetation at next grounds maintenance,overgrown vegetation,Low-traffic footpath near Central Workshop found with overgr,Resolved
OIL-UC-1159,unsafe conditions,30-05-2026,Moran Oilfield,Rig Floor Catwalk / V-Door,Contractor oversight visit,Notice board near Rig Floor Catwalk / V-Door found with 17 outdated circulars still pinned alongside current ones.,Low,0,0.09,,Degraded - minor communication clutter,"Negligible, potential minor confusion only",Remove outdated circulars at next review,outdated circulars,Notice board near Rig Floor Catwalk / V-Door found with 17 o,Open
OIL-UC-1160,unsafe conditions,29-03-2025,Offshore Rig-04,Life Boat Station,Emergency-readiness drill prep,Noticeboard near Life Boat Station displaying a safety poster overdue for its 30-month scheduled update.,Low,0,0.03,,Degraded - communication cadence lapse,"Negligible, informational gap only",Update poster and set a reminder for the next review cycle,overdue for its,Noticeboard near Life Boat Station displaying a safety poste,Open
OIL-UC-1161,unsafe conditions,11-04-2026,Guwahati Pipeline Station,SCADA Control Room,Contractor oversight visit,"Walkway near SCADA Control Room found with a small patch of loose gravel, 27 metres from any vehicle or process route.",Low,0,0.06,Gravity (minor),Degraded - minor surface wear in a low-traffic area,"Minor stumble risk, low likelihood of significant injury",Level the patch during next grounds maintenance round,loose gravel,Walkway near SCADA Control Room found with a small patch of,Open
OIL-UC-1162,unsafe conditions,10-08-2025,Duliajan Oilfield,Chemical Injection Skid,Audit/compliance walkthrough,"Storage shelf near Chemical Injection Skid found with non-hazardous spares stacked slightly above the marked height line, about 32 cm over.",Low,0,0.1,Gravity (minor),Degraded - storage height guideline not followed,Minor risk of an item falling from a low shelf,Restack items to the marked height line,stacked slightly above the marked height line,Storage shelf near Chemical Injection Skid found with non-ha,Resolved
OIL-UC-1163,unsafe conditions,05-03-2025,Digboi Refinery,LPG Bottling Plant,Shift changeover check,"Chair in the rest area near LPG Bottling Plant found with a slightly loose leg, wobble noted but stable under normal use, reported 23 days ago.",Low,0,0.12,Gravity (minimal),Degraded - minor furniture wear,"Negligible, minor discomfort only",Repair or replace during routine facilities maintenance,slightly loose leg,Chair in the rest area near LPG Bottling Plant found with a,Open
OIL-UC-1164,unsafe conditions,15-12-2024,Jorhat Operations,Warehouse,Scheduled maintenance walkdown,"Faded lane-marking paint observed near the Warehouse parking area, visibility reduced by roughly 18%.",Low,0,0.05,Mechanical Motion (minor),Degraded - visual guidance faded in a low-speed area,Minor risk of parking misjudgement at low speed,Repaint lane markings at next facility upkeep cycle,faded lane-marking paint,Faded lane-marking paint observed near the Warehouse parking,Open
OIL-UC-1165,unsafe conditions,21-07-2026,Moran Oilfield,Cementing Unit,Contractor oversight visit,"Small water stain noted on a ceiling tile near Cementing Unit, traced to an old, now-repaired roof leak; no active leak for over 9 weeks.",Low,0,0.1,,Functioning - no active hazard present,"Cosmetic issue only, negligible likelihood of harm",Replace tile at next maintenance cycle,water stain ... no active leak,Small water stain noted on a ceiling tile near Cementing Uni,Open
OIL-UC-1166,unsafe conditions,11-03-2025,Offshore Rig-04,Main Deck Crane,Scheduled maintenance walkdown,"Visitor log near Main Deck Crane found with 14 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",Low,0,0.13,,Degraded - documentation completeness lapse,"Negligible, an administrative gap rather than a live hazard",Retrain reception/gate staff on register completion,missing the induction-confirmation checkbox,Visitor log near Main Deck Crane found with 14 entries missi,Resolved
OIL-UC-1167,unsafe conditions,19-01-2025,Guwahati Pipeline Station,LCNG/LNG Dispensing Station,Emergency-readiness drill prep,"Garden hose found coiled loosely across a low-traffic pedestrian path near LCNG/LNG Dispensing Station, left out for approximately 8 hours.",Low,0,0.06,Gravity (trip),Degraded - minor trip hazard in a non-operational area,"Minor trip, low likelihood of significant injury",Coil and store hose immediately after use,hose ... left across a low-traffic pedestrian path,Garden hose found coiled loosely across a low-traffic pedest,Open
OIL-UC-1168,unsafe conditions,29-11-2025,Duliajan Oilfield,Chemical Injection Skid,Shift changeover check,"Lint buildup observed inside a utility dryer vent near Chemical Injection Skid, last cleaned approximately 13 months ago.",Low,0,0.03,Thermal (minor),Degraded - routine maintenance overdue on a low-energy appliance,Low-likelihood minor fire risk in a domestic-scale appliance,Schedule vent cleaning,lint buildup,Lint buildup observed inside a utility dryer vent near Chemi,Open
OIL-UC-1169,unsafe conditions,19-12-2025,Digboi Refinery,Benzene Storage Tank Farm,Routine inspection round,"Utility shelf near Benzene Storage Tank Farm found with cleaning supplies stacked neatly but close to the marked capacity line, about 19% full.",Low,0,0.16,Gravity (minimal),Functioning - within capacity despite appearing full,Negligible,Redistribute items for tidiness during next tidy-up,close to the marked capacity line,Utility shelf near Benzene Storage Tank Farm found with clea,Open
OIL-UC-1170,unsafe conditions,16-10-2025,Jorhat Operations,Warehouse,Contractor oversight visit,"Small puddle of rainwater observed near Warehouse, 10 metres away from any electrical or process equipment.",Low,0,0.14,Gravity (minor),Functioning - no hazardous interaction present,"Negligible, minor slip risk only","Allow natural drainage, monitor after heavy rain",small puddle of rainwater,Small puddle of rainwater observed near Warehouse,Resolved
OIL-UC-1171,unsafe conditions,04-10-2025,Moran Oilfield,Drilling Rig Substructure,Audit/compliance walkthrough,"Outdated version of a general facility map displayed near Drilling Rig Substructure, superseded layout approximately 2 months old.",Low,0,0.07,,Degraded - minor informational lapse,"Negligible, unlikely to cause any operational confusion",Replace with the current facility map,outdated version,Outdated version of a general facility map displayed near Dr,Open
OIL-UC-1172,unsafe conditions,14-02-2025,Offshore Rig-04,Life Boat Station,Scheduled maintenance walkdown,"Bicycle/scooter parking area near Life Boat Station found with uneven surface in one corner, away from any vehicle movement path, noted 23 days ago.",Low,0,0.16,Gravity (minor),Degraded - surface maintenance lapse in a low-risk area,"Minor stumble, unlikely to cause significant injury",Level surface during next grounds maintenance,uneven surface in one corner,Bicycle/scooter parking area near Life Boat Station found wi,Open
OIL-UC-1173,unsafe conditions,17-10-2025,Guwahati Pipeline Station,TTPA (Tank Truck Parking Area),Emergency-readiness drill prep,Security logbook near TTPA (Tank Truck Parking Area) found with a supply gap (pen missing) for about 9 hours; log itself was maintained without interruption.,Low,0,0.04,,Functioning - log maintained despite minor supply gap,Negligible,Restock stationery at the post,supply gap,Security logbook near TTPA (Tank Truck Parking Area) found w,Open
OIL-UC-1174,unsafe conditions,03-11-2024,Duliajan Oilfield,Workover Rig Site,Contractor oversight visit,"Minor rust patch observed on a non-structural roof panel near Workover Rig Site, no leak or structural concern identified over 38 months of monitoring.",Low,0,0.12,,Functioning,"Cosmetic, negligible",Monitor at next scheduled facility inspection,minor rust patch,Minor rust patch observed on a non-structural roof panel nea,Resolved
OIL-UC-1175,unsafe conditions,10-02-2025,Digboi Refinery,Benzene Storage Tank Farm,Shift changeover check,"Break-room refrigerator near Benzene Storage Tank Farm found running slightly warm (38 degrees above setpoint), no food-safety incident reported.",Low,0,0.04,,Degraded - minor appliance drift,"Negligible, food-quality concern rather than safety",Service refrigerator at next facilities round,running slightly warm,Break-room refrigerator near Benzene Storage Tank Farm found,Open
OIL-UC-1176,unsafe conditions,01-02-2026,Jorhat Operations,Central Workshop,Emergency-readiness drill prep,Signage near Central Workshop directing to the muster point found slightly faded but still legible from 37 metres.,Low,0,0.08,,Degraded - signage clarity reduced but still functional,"Negligible, minor readability concern",Replace signage at next scheduled refresh,slightly faded but still legible,Signage near Central Workshop directing to the muster point,Open
OIL-UC-1177,unsafe conditions,05-09-2025,Moran Oilfield,Rig Floor Catwalk / V-Door,Emergency-readiness drill prep,"Non-critical spare-parts bin near Rig Floor Catwalk / V-Door found unlabeled for approximately 16 weeks, contents still identifiable by staff.",Low,0,0.1,,Degraded - inventory labeling lapse,"Negligible, minor efficiency impact only",Relabel bin at next inventory round,unlabeled,Non-critical spare-parts bin near Rig Floor Catwalk / V-Door,Open
OIL-UC-1178,unsafe conditions,14-08-2025,Offshore Rig-04,Life Boat Station,Emergency-readiness drill prep,Low-traffic footpath near Life Boat Station found with overgrown vegetation encroaching about 21 cm into the walkway.,Low,0,0.11,Gravity (minor),Degraded - vegetation maintenance overdue in a low-risk area,"Minor obstruction, low likelihood of injury",Trim vegetation at next grounds maintenance,overgrown vegetation,Low-traffic footpath near Life Boat Station found with overg,Resolved
OIL-UC-1179,unsafe conditions,28-06-2026,Guwahati Pipeline Station,LCNG/LNG Dispensing Station,Audit/compliance walkthrough,Notice board near LCNG/LNG Dispensing Station found with 38 outdated circulars still pinned alongside current ones.,Low,0,0.04,,Degraded - minor communication clutter,"Negligible, potential minor confusion only",Remove outdated circulars at next review,outdated circulars,Notice board near LCNG/LNG Dispensing Station found with 38,Open
OIL-UC-1180,unsafe conditions,08-04-2026,Duliajan Oilfield,Workover Rig Site,Contractor oversight visit,Noticeboard near Workover Rig Site displaying a safety poster overdue for its 15-month scheduled update.,Low,0,0.06,,Degraded - communication cadence lapse,"Negligible, informational gap only",Update poster and set a reminder for the next review cycle,overdue for its,Noticeboard near Workover Rig Site displaying a safety poste,Open
OIL-UC-1181,unsafe conditions,16-08-2024,Digboi Refinery,Reboiler Furnace Bay,Scheduled maintenance walkdown,"Walkway near Reboiler Furnace Bay found with a small patch of loose gravel, 12 metres from any vehicle or process route.",Low,0,0.05,Gravity (minor),Degraded - minor surface wear in a low-traffic area,"Minor stumble risk, low likelihood of significant injury",Level the patch during next grounds maintenance round,loose gravel,Walkway near Reboiler Furnace Bay found with a small patch o,Open
OIL-UC-1182,unsafe conditions,30-01-2026,Jorhat Operations,Fire Station,Pre-operation verification,"Storage shelf near Fire Station found with non-hazardous spares stacked slightly above the marked height line, about 2 cm over.",Low,0,0.09,Gravity (minor),Degraded - storage height guideline not followed,Minor risk of an item falling from a low shelf,Restack items to the marked height line,stacked slightly above the marked height line,Storage shelf near Fire Station found with non-hazardous spa,Resolved
OIL-UC-1183,unsafe conditions,25-05-2026,Moran Oilfield,Well Test Separator,Routine inspection round,"Chair in the rest area near Well Test Separator found with a slightly loose leg, wobble noted but stable under normal use, reported 20 days ago.",Low,0,0.06,Gravity (minimal),Degraded - minor furniture wear,"Negligible, minor discomfort only",Repair or replace during routine facilities maintenance,slightly loose leg,Chair in the rest area near Well Test Separator found with a,Open
OIL-UC-1184,unsafe conditions,26-02-2025,Offshore Rig-04,Moon Pool Area,Routine inspection round,"Faded lane-marking paint observed near the Moon Pool Area parking area, visibility reduced by roughly 31%.",Low,0,0.12,Mechanical Motion (minor),Degraded - visual guidance faded in a low-speed area,Minor risk of parking misjudgement at low speed,Repaint lane markings at next facility upkeep cycle,faded lane-marking paint,Faded lane-marking paint observed near the Moon Pool Area pa,Open
OIL-UC-1185,unsafe conditions,26-03-2026,Guwahati Pipeline Station,SCADA Control Room,Routine inspection round,"Small water stain noted on a ceiling tile near SCADA Control Room, traced to an old, now-repaired roof leak; no active leak for over 29 weeks.",Low,0,0.1,,Functioning - no active hazard present,"Cosmetic issue only, negligible likelihood of harm",Replace tile at next maintenance cycle,water stain ... no active leak,Small water stain noted on a ceiling tile near SCADA Control,Open
OIL-UC-1186,unsafe conditions,01-08-2024,Duliajan Oilfield,Gas Compressor Station,Emergency-readiness drill prep,"Visitor log near Gas Compressor Station found with 19 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",Low,0,0.05,,Degraded - documentation completeness lapse,"Negligible, an administrative gap rather than a live hazard",Retrain reception/gate staff on register completion,missing the induction-confirmation checkbox,Visitor log near Gas Compressor Station found with 19 entrie,Resolved
OIL-UC-1187,unsafe conditions,04-01-2026,Digboi Refinery,Benzene Storage Tank Farm,Audit/compliance walkthrough,"Garden hose found coiled loosely across a low-traffic pedestrian path near Benzene Storage Tank Farm, left out for approximately 21 hours.",Low,0,0.13,Gravity (trip),Degraded - minor trip hazard in a non-operational area,"Minor trip, low likelihood of significant injury",Coil and store hose immediately after use,hose ... left across a low-traffic pedestrian path,Garden hose found coiled loosely across a low-traffic pedest,Open
OIL-UC-1188,unsafe conditions,08-04-2025,Jorhat Operations,Warehouse,Routine inspection round,"Lint buildup observed inside a utility dryer vent near Warehouse, last cleaned approximately 30 months ago.",Low,0,0.09,Thermal (minor),Degraded - routine maintenance overdue on a low-energy appliance,Low-likelihood minor fire risk in a domestic-scale appliance,Schedule vent cleaning,lint buildup,Lint buildup observed inside a utility dryer vent near Wareh,Open
OIL-UC-1189,unsafe conditions,19-10-2025,Moran Oilfield,Telescopic Mast Assembly,Shift changeover check,"Utility shelf near Telescopic Mast Assembly found with cleaning supplies stacked neatly but close to the marked capacity line, about 27% full.",Low,0,0.1,Gravity (minimal),Functioning - within capacity despite appearing full,Negligible,Redistribute items for tidiness during next tidy-up,close to the marked capacity line,Utility shelf near Telescopic Mast Assembly found with clean,Open
OIL-UC-1190,unsafe conditions,17-08-2025,Offshore Rig-04,Life Boat Station,Audit/compliance walkthrough,"Small puddle of rainwater observed near Life Boat Station, 7 metres away from any electrical or process equipment.",Low,0,0.04,Gravity (minor),Functioning - no hazardous interaction present,"Negligible, minor slip risk only","Allow natural drainage, monitor after heavy rain",small puddle of rainwater,Small puddle of rainwater observed near Life Boat Station,Resolved
OIL-UC-1191,unsafe conditions,21-01-2025,Guwahati Pipeline Station,220kV Cable Trench (RCC),Shift changeover check,"Outdated version of a general facility map displayed near 220kV Cable Trench (RCC), superseded layout approximately 40 months old.",Low,0,0.03,,Degraded - minor informational lapse,"Negligible, unlikely to cause any operational confusion",Replace with the current facility map,outdated version,Outdated version of a general facility map displayed near 22,Open
OIL-UC-1192,unsafe conditions,15-07-2026,Duliajan Oilfield,Wellhead Cluster 3,Audit/compliance walkthrough,"Bicycle/scooter parking area near Wellhead Cluster 3 found with uneven surface in one corner, away from any vehicle movement path, noted 19 days ago.",Low,0,0.04,Gravity (minor),Degraded - surface maintenance lapse in a low-risk area,"Minor stumble, unlikely to cause significant injury",Level surface during next grounds maintenance,uneven surface in one corner,Bicycle/scooter parking area near Wellhead Cluster 3 found w,Open
OIL-UC-1193,unsafe conditions,12-03-2025,Digboi Refinery,Benzene Storage Tank Farm,Audit/compliance walkthrough,Security logbook near Benzene Storage Tank Farm found with a supply gap (pen missing) for about 32 hours; log itself was maintained without interruption.,Low,0,0.11,,Functioning - log maintained despite minor supply gap,Negligible,Restock stationery at the post,supply gap,Security logbook near Benzene Storage Tank Farm found with a,Open
OIL-UC-1194,unsafe conditions,17-10-2025,Jorhat Operations,Fire Station,Pre-operation verification,"Minor rust patch observed on a non-structural roof panel near Fire Station, no leak or structural concern identified over 39 months of monitoring.",Low,0,0.11,,Functioning,"Cosmetic, negligible",Monitor at next scheduled facility inspection,minor rust patch,Minor rust patch observed on a non-structural roof panel nea,Resolved
OIL-UC-1195,unsafe conditions,25-04-2025,Moran Oilfield,Drilling Rig Substructure,Shift changeover check,"Break-room refrigerator near Drilling Rig Substructure found running slightly warm (32 degrees above setpoint), no food-safety incident reported.",Low,0,0.08,,Degraded - minor appliance drift,"Negligible, food-quality concern rather than safety",Service refrigerator at next facilities round,running slightly warm,Break-room refrigerator near Drilling Rig Substructure found,Open
OIL-UC-1196,unsafe conditions,21-10-2025,Offshore Rig-04,Catwalk / V-Door,Shift changeover check,Signage near Catwalk / V-Door directing to the muster point found slightly faded but still legible from 12 metres.,Low,0,0.08,,Degraded - signage clarity reduced but still functional,"Negligible, minor readability concern",Replace signage at next scheduled refresh,slightly faded but still legible,Signage near Catwalk / V-Door directing to the muster point,Open
OIL-UC-1197,unsafe conditions,08-07-2024,Guwahati Pipeline Station,LCNG/LNG Dispensing Station,Emergency-readiness drill prep,"Non-critical spare-parts bin near LCNG/LNG Dispensing Station found unlabeled for approximately 27 weeks, contents still identifiable by staff.",Low,0,0.13,,Degraded - inventory labeling lapse,"Negligible, minor efficiency impact only",Relabel bin at next inventory round,unlabeled,Non-critical spare-parts bin near LCNG/LNG Dispensing Statio,Open
OIL-UC-1198,unsafe conditions,27-09-2024,Duliajan Oilfield,Water Treatment Plant,Shift changeover check,Low-traffic footpath near Water Treatment Plant found with overgrown vegetation encroaching about 7 cm into the walkway.,Low,0,0.06,Gravity (minor),Degraded - vegetation maintenance overdue in a low-risk area,"Minor obstruction, low likelihood of injury",Trim vegetation at next grounds maintenance,overgrown vegetation,Low-traffic footpath near Water Treatment Plant found with o,Resolved
OIL-UC-1199,unsafe conditions,05-04-2026,Digboi Refinery,Battery Room,Emergency-readiness drill prep,Notice board near Battery Room found with 34 outdated circulars still pinned alongside current ones.,Low,0,0.16,,Degraded - minor communication clutter,"Negligible, potential minor confusion only",Remove outdated circulars at next review,outdated circulars,Notice board near Battery Room found with 34 outdated circul,Open
OIL-UC-1200,unsafe conditions,10-12-2024,Jorhat Operations,Diesel Fuel Island,Pre-operation verification,Noticeboard near Diesel Fuel Island displaying a safety poster overdue for its 36-month scheduled update.,Low,0,0.08,,Degraded - communication cadence lapse,"Negligible, informational gap only",Update poster and set a reminder for the next review cycle,overdue for its,Noticeboard near Diesel Fuel Island displaying a safety post,Open
OIL-UC-1201,unsafe conditions,03-03-2026,Moran Oilfield,Camp Site,Audit/compliance walkthrough,"Walkway near Camp Site found with a small patch of loose gravel, 25 metres from any vehicle or process route.",Low,0,0.13,Gravity (minor),Degraded - minor surface wear in a low-traffic area,"Minor stumble risk, low likelihood of significant injury",Level the patch during next grounds maintenance round,loose gravel,Walkway near Camp Site found with a small patch of loose gra,Open
OIL-UC-1202,unsafe conditions,13-10-2024,Offshore Rig-04,Life Boat Station,Scheduled maintenance walkdown,"Storage shelf near Life Boat Station found with non-hazardous spares stacked slightly above the marked height line, about 5 cm over.",Low,0,0.06,Gravity (minor),Degraded - storage height guideline not followed,Minor risk of an item falling from a low shelf,Restack items to the marked height line,stacked slightly above the marked height line,Storage shelf near Life Boat Station found with non-hazardou,Resolved
OIL-UC-1203,unsafe conditions,30-06-2024,Guwahati Pipeline Station,LCNG/LNG Dispensing Station,Contractor oversight visit,"Chair in the rest area near LCNG/LNG Dispensing Station found with a slightly loose leg, wobble noted but stable under normal use, reported 30 days ago.",Low,0,0.09,Gravity (minimal),Degraded - minor furniture wear,"Negligible, minor discomfort only",Repair or replace during routine facilities maintenance,slightly loose leg,Chair in the rest area near LCNG/LNG Dispensing Station foun,Open
OIL-UC-1204,unsafe conditions,18-12-2025,Duliajan Oilfield,Central Tank Farm,Shift changeover check,"Faded lane-marking paint observed near the Central Tank Farm parking area, visibility reduced by roughly 12%.",Low,0,0.1,Mechanical Motion (minor),Degraded - visual guidance faded in a low-speed area,Minor risk of parking misjudgement at low speed,Repaint lane markings at next facility upkeep cycle,faded lane-marking paint,Faded lane-marking paint observed near the Central Tank Farm,Open
OIL-UC-1205,unsafe conditions,25-09-2024,Digboi Refinery,Battery Room,Scheduled maintenance walkdown,"Small water stain noted on a ceiling tile near Battery Room, traced to an old, now-repaired roof leak; no active leak for over 7 weeks.",Low,0,0.16,,Functioning - no active hazard present,"Cosmetic issue only, negligible likelihood of harm",Replace tile at next maintenance cycle,water stain ... no active leak,Small water stain noted on a ceiling tile near Battery Room,Open
OIL-UC-1206,unsafe conditions,24-10-2025,Jorhat Operations,Compressed Gas Store,Contractor oversight visit,"Visitor log near Compressed Gas Store found with 9 entries missing the induction-confirmation checkbox, though inductions were verbally confirmed by staff.",Low,0,0.14,,Degraded - documentation completeness lapse,"Negligible, an administrative gap rather than a live hazard",Retrain reception/gate staff on register completion,missing the induction-confirmation checkbox,Visitor log near Compressed Gas Store found with 9 entries m,Resolved
OIL-UC-1207,unsafe conditions,31-07-2025,Moran Oilfield,Telescopic Mast Assembly,Audit/compliance walkthrough,"Garden hose found coiled loosely across a low-traffic pedestrian path near Telescopic Mast Assembly, left out for approximately 20 hours.",Low,0,0.12,Gravity (trip),Degraded - minor trip hazard in a non-operational area,"Minor trip, low likelihood of significant injury",Coil and store hose immediately after use,hose ... left across a low-traffic pedestrian path,Garden hose found coiled loosely across a low-traffic pedest,Open
OIL-UC-1208,unsafe conditions,27-10-2024,Offshore Rig-04,Life Boat Station,Scheduled maintenance walkdown,"Lint buildup observed inside a utility dryer vent near Life Boat Station, last cleaned approximately 32 months ago.",Low,0,0.09,Thermal (minor),Degraded - routine maintenance overdue on a low-energy appliance,Low-likelihood minor fire risk in a domestic-scale appliance,Schedule vent cleaning,lint buildup,Lint buildup observed inside a utility dryer vent near Life,Open
OIL-UC-1209,unsafe conditions,18-10-2024,Guwahati Pipeline Station,Pipeline ROW River Crossing,Audit/compliance walkthrough,"Utility shelf near Pipeline ROW River Crossing found with cleaning supplies stacked neatly but close to the marked capacity line, about 14% full.",Low,0,0.1,Gravity (minimal),Functioning - within capacity despite appearing full,Negligible,Redistribute items for tidiness during next tidy-up,close to the marked capacity line,Utility shelf near Pipeline ROW River Crossing found with cl,Open
OIL-UC-1210,unsafe conditions,30-07-2025,Duliajan Oilfield,Workover Rig Site,Emergency-readiness drill prep,"Small puddle of rainwater observed near Workover Rig Site, 19 metres away from any electrical or process equipment.",Low,0,0.13,Gravity (minor),Functioning - no hazardous interaction present,"Negligible, minor slip risk only","Allow natural drainage, monitor after heavy rain",small puddle of rainwater,Small puddle of rainwater observed near Workover Rig Site,Resolved
OIL-UC-1211,unsafe conditions,17-03-2025,Digboi Refinery,Boiler House,Shift changeover check,"Outdated version of a general facility map displayed near Boiler House, superseded layout approximately 34 months old.",Low,0,0.14,,Degraded - minor informational lapse,"Negligible, unlikely to cause any operational confusion",Replace with the current facility map,outdated version,Outdated version of a general facility map displayed near Bo,Open
OIL-UC-1212,unsafe conditions,07-04-2026,Jorhat Operations,Fleet Operations Yard,Emergency-readiness drill prep,"Bicycle/scooter parking area near Fleet Operations Yard found with uneven surface in one corner, away from any vehicle movement path, noted 21 days ago.",Low,0,0.11,Gravity (minor),Degraded - surface maintenance lapse in a low-risk area,"Minor stumble, unlikely to cause significant injury",Level surface during next grounds maintenance,uneven surface in one corner,Bicycle/scooter parking area near Fleet Operations Yard foun,Open
OIL-UC-1213,unsafe conditions,20-05-2025,Moran Oilfield,Well Test Separator,Pre-operation verification,Security logbook near Well Test Separator found with a supply gap (pen missing) for about 11 hours; log itself was maintained without interruption.,Low,0,0.1,,Functioning - log maintained despite minor supply gap,Negligible,Restock stationery at the post,supply gap,Security logbook near Well Test Separator found with a suppl,Open
OIL-UC-1214,unsafe conditions,10-09-2025,Offshore Rig-04,Mud Pump Room,Emergency-readiness drill prep,"Minor rust patch observed on a non-structural roof panel near Mud Pump Room, no leak or structural concern identified over 37 months of monitoring.",Low,0,0.1,,Functioning,"Cosmetic, negligible",Monitor at next scheduled facility inspection,minor rust patch,Minor rust patch observed on a non-structural roof panel nea,Resolved
OIL-UC-1215,unsafe conditions,28-06-2025,Guwahati Pipeline Station,220kV Cable Trench (RCC),Contractor oversight visit,"Break-room refrigerator near 220kV Cable Trench (RCC) found running slightly warm (14 degrees above setpoint), no food-safety incident reported.",Low,0,0.06,,Degraded - minor appliance drift,"Negligible, food-quality concern rather than safety",Service refrigerator at next facilities round,running slightly warm,Break-room refrigerator near 220kV Cable Trench (RCC) found,Open
OIL-UC-1216,unsafe conditions,28-09-2025,Duliajan Oilfield,Central Tank Farm,Routine inspection round,Signage near Central Tank Farm directing to the muster point found slightly faded but still legible from 28 metres.,Low,0,0.07,,Degraded - signage clarity reduced but still functional,"Negligible, minor readability concern",Replace signage at next scheduled refresh,slightly faded but still legible,Signage near Central Tank Farm directing to the muster point,Open
OIL-UC-1217,unsafe conditions,30-03-2026,Digboi Refinery,Battery Room,Contractor oversight visit,"Non-critical spare-parts bin near Battery Room found unlabeled for approximately 26 weeks, contents still identifiable by staff.",Low,0,0.13,,Degraded - inventory labeling lapse,"Negligible, minor efficiency impact only",Relabel bin at next inventory round,unlabeled,Non-critical spare-parts bin near Battery Room found unlabel,Open
