python predict_v3.py
report_text,category,risk_level,sif_label,sif_binary,facility,department
"During routine maintenance, a worker stood directly below a suspended load inside the exclusion zone causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker performed welding with proper hot-work controls and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During planned shutdown work, a worker operated a forklift with the seatbelt fastened and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During normal production, a worker remained outside the exclusion zone while a load was suspended overhead behind the barricade. and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During routine maintenance, a worker entered a confined space with no permit or gas test and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During routine maintenance, a worker opened an electrical panel with no electrical isolation and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"While completing an urgent task, a worker operated a forklift while not using the seatbelt and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During routine maintenance, a worker inspected rotating equipment bypassing the machine guard and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"While completing an urgent task, a worker performed welding with no hot-work controls and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During routine maintenance, a worker entered a confined space with proper permit and atmosphere testing and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker entered a confined space with proper permit and atmosphere testing and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During normal production, a worker stopped the machine, energy sources were isolated and locked out, and verified zero energy before work. and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker performed welding without permit or fire precautions and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker reached into a moving machine without applying lockout-tagout and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a night shift, a worker remained outside the exclusion zone while a load was suspended overhead clear of the restricted area. and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
Worker standing under suspended load. Sling broke - load dropped. Worker jumped but debris struck leg. Broken leg injury. Worker entered restricted area under load. Crane operator signaled danger but worker ignored.,Unsafe Act,High,SIF,1,Lifting Area,Rigging Operations
"During routine maintenance, a worker inspected rotating equipment after ensuring guards were installed and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a scheduled inspection, a worker inspected rotating equipment with machine guards properly installed and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During a scheduled inspection, a worker operated a forklift with seatbelt in use and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During planned shutdown work, a worker performed welding after clearing combustibles and posting a fire watch and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a night shift, a worker operated a forklift wearing the seatbelt and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a night shift, a worker performed welding with proper hot-work controls and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
Worker fell from height while drunk. Paraplegia. Worker consumed alcohol at lunch. Management unaware. No alcohol testing. Worker climbed without harness. Many safety violations. Life-changing injury.,Unsafe Act,High,SIF,1,Construction Site,Civil Projects
"While completing an urgent task, a worker opened an electrical panel without isolation resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During a scheduled inspection, a worker operated a forklift while not using the seatbelt and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During planned shutdown work, a worker remained outside the exclusion zone while a load was suspended overhead outside the exclusion zone. and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During normal production, a worker remained outside the exclusion zone while a load was suspended overhead outside the exclusion zone. and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During normal production, a worker opened an electrical panel after confirming the panel was dead and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
Welding arc flash burned worker's face. Worker didn't use proper shade lens. Dark lens cracked - removed and not replaced. Assistant also suffered eye injury from arc exposure. PPE violation.,Unsafe Act,Medium,Non-SIF,0,Welding Bay,Maintenance Mechanical
"During planned shutdown work, a worker stopped the machine, zero energy was verified, and verified zero energy before work. and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During normal production, a worker inspected rotating equipment after ensuring guards were installed and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"While completing an urgent task, a worker opened an electrical panel while energized and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker operated a forklift while not using the seatbelt and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During a scheduled inspection, a worker worked at height on an elevated platform without wearing a harness and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During routine maintenance, a worker stood directly below a suspended load inside the exclusion zone and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a night shift, a worker remained outside the exclusion zone while a load was suspended overhead in a designated safe area. and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During planned shutdown work, a worker inspected rotating equipment after ensuring guards were installed and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During routine maintenance, a worker performed welding without permit or fire precautions and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During normal production, a worker opened an electrical panel without verifying zero voltage and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During planned shutdown work, a worker entered a confined space after gas testing confirmed safe conditions and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a night shift, a worker operated a forklift using the seatbelt as required and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During planned shutdown work, a worker operated a forklift without seatbelt fastened and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"While completing an urgent task, a worker remained outside the exclusion zone while a load was suspended overhead outside the exclusion zone. and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"While completing an urgent task, a worker inspected rotating equipment with the guard removed and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a scheduled inspection, a worker entered a confined space without testing the atmosphere and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"While completing an urgent task, a worker reached into a moving machine without energy isolation and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During planned shutdown work, a worker entered a confined space after testing the atmosphere and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During a night shift, a worker entered a confined space without a confined-space permit and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During a night shift, a worker reached into a moving machine with LOTO not applied and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During a night shift, a worker worked at height on an elevated platform and no fall arrest was used resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During planned shutdown work, a worker reached into a moving machine while the machine remained energized and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During a night shift, a worker worked at height on an elevated platform with full fall protection in place and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During planned shutdown work, a worker entered a confined space without a confined-space permit and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During planned shutdown work, a worker operated a forklift with seatbelt in use and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During a scheduled inspection, a worker entered a confined space after confirming safe oxygen levels and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During normal production, a worker performed welding with no hot-work controls and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During a scheduled inspection, a worker operated a forklift with seatbelt in use and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker opened an electrical panel after de-energizing and verifying zero voltage and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During routine maintenance, a worker worked at height on an elevated platform and no fall arrest was used and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a night shift, a worker opened an electrical panel while energized causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a scheduled inspection, a worker inspected rotating equipment with guards installed and secured and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During normal production, a worker remained outside the exclusion zone while a load was suspended overhead at a safe distance from the load. and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During routine maintenance, a worker worked at height on an elevated platform with no harness attached causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"While completing an urgent task, a worker performed welding bypassing the hot-work permit resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During routine maintenance, a worker entered a confined space without atmosphere verification and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During normal production, a worker opened an electrical panel without isolation and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During planned shutdown work, a worker remained outside the exclusion zone while a load was suspended overhead at a safe distance from the load. and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a scheduled inspection, a worker worked at height on an elevated platform with an unconnected lanyard and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"While completing an urgent task, a worker stood directly below a suspended load without respecting the barricade and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During normal production, a worker reached into a moving machine while the machine remained energized and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During routine maintenance, a worker opened an electrical panel with no electrical isolation and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"While completing an urgent task, a worker opened an electrical panel without isolation and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"While completing an urgent task, a worker opened an electrical panel without de-energizing resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"While completing an urgent task, a worker stood directly below a suspended load ignoring the exclusion zone and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During normal production, a worker inspected rotating equipment bypassing the machine guard and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker performed welding without permit or fire precautions and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During routine maintenance, a worker stopped the machine, energy sources were isolated and locked out, and verified zero energy before work. and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During routine maintenance, a worker worked at height on an elevated platform with fall protection properly attached and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During normal production, a worker remained outside the exclusion zone while a load was suspended overhead at a safe distance from the load. and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During routine maintenance, a worker reached into a moving machine bypassing lockout-tagout and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker remained outside the exclusion zone while a load was suspended overhead behind the barricade. and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker worked at height on an elevated platform and no fall arrest was used and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"While completing an urgent task, a worker operated a forklift with no seatbelt and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"While completing an urgent task, a worker operated a forklift with the seatbelt fastened and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"While completing an urgent task, a worker opened an electrical panel while energized and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a scheduled inspection, a worker inspected rotating equipment after ensuring guards were installed and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During planned shutdown work, a worker performed welding with permit and fire prevention measures and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During routine maintenance, a worker entered a confined space after testing the atmosphere and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During normal production, a worker worked at height on an elevated platform with a harness and connected lanyard and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During normal production, a worker reached into a moving machine without applying lockout-tagout and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During a scheduled inspection, a worker stood directly below a suspended load beneath the load in the restricted area and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During planned shutdown work, a worker performed welding without a hot-work permit causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a scheduled inspection, a worker operated a forklift wearing the seatbelt and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a scheduled inspection, a worker operated a forklift while not using the seatbelt resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During planned shutdown work, a worker entered a confined space without atmosphere verification and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker stopped the machine, after isolating and locking out energy, and verified zero energy before work. and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During a scheduled inspection, a worker stopped the machine, lockout-tagout was applied, and verified zero energy before work. and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During planned shutdown work, a worker inspected rotating equipment with the protective guard installed and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"While completing an urgent task, a worker reached into a moving machine with LOTO not applied and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During a scheduled inspection, a worker opened an electrical panel after de-energizing and verifying zero voltage and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"While completing an urgent task, a worker performed welding with proper hot-work controls and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker reached into a moving machine while the machine remained energized and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During a night shift, a worker opened an electrical panel with no electrical isolation and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During normal production, a worker stood directly below a suspended load without respecting the barricade and the load struck the worker, causing a crushed leg. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During normal production, a worker worked at height on an elevated platform wearing proper fall arrest equipment and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"While completing an urgent task, a worker remained outside the exclusion zone while a load was suspended overhead in a designated safe area. and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a night shift, a worker performed welding without permit or fire precautions and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During a scheduled inspection, a worker operated a forklift without wearing the seatbelt and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a night shift, a worker entered a confined space without a confined-space permit and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During normal production, a worker stood directly below a suspended load without respecting the barricade and collapsed from oxygen deficiency. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During a night shift, a worker stopped the machine, after isolating and locking out energy, and verified zero energy before work. and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During normal production, a worker entered a confined space after gas testing confirmed safe conditions and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During planned shutdown work, a worker performed welding with proper hot-work controls and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During normal production, a worker entered a confined space without a confined-space permit and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During planned shutdown work, a worker reached into a moving machine while the machine remained energized and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During normal production, a worker stopped the machine, after isolating and locking out energy, and verified zero energy before work. and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During planned shutdown work, a worker entered a confined space with no permit or gas test and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During planned shutdown work, a worker inspected rotating equipment with the guard removed and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During a scheduled inspection, a worker stopped the machine, with proper LOTO and verified zero energy, and verified zero energy before work. and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During normal production, a worker stood directly below a suspended load inside the exclusion zone and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During a night shift, a worker operated a forklift with the seatbelt fastened and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During planned shutdown work, a worker remained outside the exclusion zone while a load was suspended overhead clear of the restricted area. and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During normal production, a worker reached into a moving machine without energy isolation and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Construction Zone,Projects
"During a night shift, a worker remained outside the exclusion zone while a load was suspended overhead in a designated safe area. and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker stood directly below a suspended load beneath the load in the restricted area and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"While completing an urgent task, a worker stopped the machine, lockout-tagout was applied, and verified zero energy before work. and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"While completing an urgent task, a worker opened an electrical panel with no electrical isolation resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker inspected rotating equipment with guards installed and secured and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
Truck bed falling - worker crushed. Hydraulic system failed. No prop used. Worker underneath changing tires. Support system malfunctioning. Worker's chest crushed. CPR attempted - worker died. Preventable.,Unsafe Act,High,SIF,1,Maintenance Shop,Transport Logistics
Mobile crane outrigger on soft ground. Crane tipped during lift. Operator thrown from cab. Broken bones. Outrigger pads not used. Ground not assessed. Load within capacity but ground unstable.,Unsafe Act,High,SIF,1,Crane Operation Area,Projects Mechanical
"While completing an urgent task, a worker remained outside the exclusion zone while a load was suspended overhead outside the exclusion zone. and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker stood directly below a suspended load without respecting the barricade resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"While completing an urgent task, a worker inspected rotating equipment with guards installed and secured and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During planned shutdown work, a worker operated a forklift without seatbelt fastened causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"While completing an urgent task, a worker inspected rotating equipment with the guard removed resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During routine maintenance, a worker entered a confined space with a valid confined-space permit and continuous monitoring and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During a night shift, a worker inspected rotating equipment with all guards in place and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During normal production, a worker operated a forklift with seatbelt properly worn and entry proceeded without injury. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During planned shutdown work, a worker entered a confined space after confirming safe oxygen levels and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During a scheduled inspection, a worker entered a confined space with no permit or gas test and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During normal production, a worker entered a confined space with a valid confined-space permit and continuous monitoring and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During routine maintenance, a worker entered a confined space with proper permit and atmosphere testing and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During a night shift, a worker reached into a moving machine without energy isolation resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During routine maintenance, a worker entered a confined space with proper permit and atmosphere testing and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During planned shutdown work, a worker operated a forklift with seatbelt properly worn and no electrical incident occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During planned shutdown work, a worker remained outside the exclusion zone while a load was suspended overhead outside the exclusion zone. and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Electrical Substation,Electrical Maintenance
"During a scheduled inspection, a worker stopped the machine, zero energy was verified, and verified zero energy before work. and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During normal production, a worker opened an electrical panel after de-energizing and verifying zero voltage and no fire occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During normal production, a worker inspected rotating equipment with guards removed and fell, sustaining multiple fractures. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During normal production, a worker stopped the machine, with proper LOTO and verified zero energy, and verified zero energy before work. and the lift was completed safely. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
"During planned shutdown work, a worker inspected rotating equipment with guards installed and secured and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During a scheduled inspection, a worker operated a forklift with no seatbelt and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Warehouse,Logistics
"During normal production, a worker operated a forklift without wearing the seatbelt causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Electrical Substation,Electrical Maintenance
"During routine maintenance, a worker inspected rotating equipment after ensuring guards were installed and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"While completing an urgent task, a worker opened an electrical panel with proper electrical isolation and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Process Unit,Operations
"During a night shift, a worker operated a forklift wearing the seatbelt and no overturn or collision occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker worked at height on an elevated platform with an unconnected lanyard resulting in an arc flash and severe burns. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During planned shutdown work, a worker remained outside the exclusion zone while a load was suspended overhead at a safe distance from the load. and no fall occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Warehouse,Logistics
"During a night shift, a worker performed welding with a valid hot-work permit and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Maintenance Workshop,Mechanical
"During routine maintenance, a worker operated a forklift while not using the seatbelt causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Tank Farm,Operations
"During normal production, a worker inspected rotating equipment bypassing the machine guard causing a flash fire and serious burns. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"While completing an urgent task, a worker stood directly below a suspended load ignoring the exclusion zone and the forklift overturned with crush injuries. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During normal production, a worker performed welding after clearing combustibles and posting a fire watch and no contact with moving parts occurred. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Tank Farm,Operations
"During a night shift, a worker stood directly below a suspended load inside the exclusion zone and the machine started unexpectedly, crushing the hand. This created SIF potential.",Unsafe Act,High,SIF,1,Maintenance Workshop,Mechanical
"During planned shutdown work, a worker operated a forklift without seatbelt fastened and the sleeve was caught, causing a severe arm injury. This created SIF potential.",Unsafe Act,High,SIF,1,Process Unit,Operations
"During planned shutdown work, a worker entered a confined space after gas testing confirmed safe conditions and the task was completed without incident. This was a safe work practice.",Safe Act,Low,Non-SIF,0,Construction Zone,Projects
